,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Travis d'Arnaud,Atlanta Braves,Nathan Eovaldi,Texas Rangers,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
1,Travis d'Arnaud,Atlanta Braves,Brock Burke,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,Travis d'Arnaud,Atlanta Braves,Phil Bickford,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Travis d'Arnaud,Atlanta Braves,Tony Gonsolin,Los Angeles Dodgers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Travis d'Arnaud,Atlanta Braves,Zach Eflin,Tampa Bay Rays,2,1,0,0,1,1,0,0,1,.500,.500,2.000,2.500
5,Travis d'Arnaud,Atlanta Braves,Jason Adam,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Travis d'Arnaud,Atlanta Braves,Zack Littell,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Travis d'Arnaud,Atlanta Braves,Brayan Bello,Boston Red Sox,1,1,0,0,0,0,1,0,0,1.000,1.000,1.000,2.000
8,Travis d'Arnaud,Atlanta Braves,Kenley Jansen,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,Travis d'Arnaud,Atlanta Braves,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,Travis d'Arnaud,Atlanta Braves,Jordan Hicks,St. Louis Cardinals,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
11,Travis d'Arnaud,Atlanta Braves,Steven Matz,St. Louis Cardinals,3,3,1,0,0,0,0,0,0,1.000,1.000,1.333,2.333
12,Travis d'Arnaud,Atlanta Braves,Miles Mikolas,St. Louis Cardinals,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Travis d'Arnaud,Atlanta Braves,Packy Naughton,St. Louis Cardinals,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Travis d'Arnaud,Atlanta Braves,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Travis d'Arnaud,Atlanta Braves,Jake Woodford,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,Travis d'Arnaud,Atlanta Braves,Zac Gallen,Arizona Diamondbacks,6,1,0,0,0,0,0,0,2,.167,.167,.167,.334
17,Travis d'Arnaud,Atlanta Braves,Miguel Castro,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Travis d'Arnaud,Atlanta Braves,Andrew Chafin,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
19,Travis d'Arnaud,Atlanta Braves,Merrill Kelly,Arizona Diamondbacks,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Travis d'Arnaud,Atlanta Braves,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Travis d'Arnaud,Atlanta Braves,Graham Ashcraft,Cincinnati Reds,3,3,0,0,1,1,0,0,0,1.000,1.000,2.000,3.000
22,Travis d'Arnaud,Atlanta Braves,Silvino Bracho,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
23,Travis d'Arnaud,Atlanta Braves,Buck Farmer,Cincinnati Reds,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Travis d'Arnaud,Atlanta Braves,Luke Weaver,Cincinnati Reds,2,1,0,0,1,3,0,0,0,.500,.500,2.000,2.500
25,Travis d'Arnaud,Atlanta Braves,Alexis Diaz,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,Travis d'Arnaud,Atlanta Braves,Daniel Duarte,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,Travis d'Arnaud,Atlanta Braves,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Travis d'Arnaud,Atlanta Braves,Trevor Richards,Toronto Blue Jays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
29,Travis d'Arnaud,Atlanta Braves,Anthony Bass,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Travis d'Arnaud,Atlanta Braves,Chris Bassitt,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.333,.000,.333
31,Travis d'Arnaud,Atlanta Braves,Yusei Kikuchi,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Travis d'Arnaud,Atlanta Braves,Nate Pearson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,Travis d'Arnaud,Atlanta Braves,Gregory Soto,Philadelphia Phillies,1,1,0,0,0,2,1,0,0,1.000,1.000,1.000,2.000
34,Travis d'Arnaud,Atlanta Braves,Taijuan Walker,Philadelphia Phillies,3,2,1,0,0,0,0,0,0,.667,.667,1.000,1.667
35,Travis d'Arnaud,Atlanta Braves,Dylan Covey,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Travis d'Arnaud,Atlanta Braves,Jeff Hoffman,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
37,Travis d'Arnaud,Atlanta Braves,Craig Kimbrel,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
38,Travis d'Arnaud,Atlanta Braves,Aaron Nola,Philadelphia Phillies,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
39,Travis d'Arnaud,Atlanta Braves,Matt Strahm,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,Travis d'Arnaud,Atlanta Braves,Ranger Suarez,Philadelphia Phillies,1,0,0,0,0,0,2,0,1,.000,.667,.000,.667
41,Travis d'Arnaud,Atlanta Braves,Tim Hill,San Diego Padres,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
42,Travis d'Arnaud,Atlanta Braves,Blake Snell,San Diego Padres,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Travis d'Arnaud,Atlanta Braves,Domingo Tapia,San Diego Padres,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
44,Travis d'Arnaud,Atlanta Braves,Michael Wacha,San Diego Padres,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Travis d'Arnaud,Atlanta Braves,Steven Wilson,San Diego Padres,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
46,Travis d'Arnaud,Atlanta Braves,Sonny Gray,Minnesota Twins,3,1,0,0,0,1,0,0,1,.333,.333,.333,.666
47,Travis d'Arnaud,Atlanta Braves,Jordan Balazovic,Minnesota Twins,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
48,Travis d'Arnaud,Atlanta Braves,Kenta Maeda,Minnesota Twins,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
49,Travis d'Arnaud,Atlanta Braves,Jovani Moran,Minnesota Twins,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
50,Travis d'Arnaud,Atlanta Braves,Josh Winder,Minnesota Twins,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
51,Travis d'Arnaud,Atlanta Braves,Andrew Nardi,Miami Marlins,1,1,0,0,1,2,0,0,0,1.000,1.000,4.000,5.000
