,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Tucupita Marcano,Pittsburgh Pirates,Joe Barlow,Texas Rangers,1,1,0,0,1,4,0,0,0,1.000,1.000,4.000,5.000
1,Tucupita Marcano,Pittsburgh Pirates,Dane Dunning,Texas Rangers,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
2,Tucupita Marcano,Pittsburgh Pirates,Nathan Eovaldi,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Tucupita Marcano,Pittsburgh Pirates,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
4,Tucupita Marcano,Pittsburgh Pirates,Bobby Miller,Los Angeles Dodgers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
5,Tucupita Marcano,Pittsburgh Pirates,Noah Syndergaard,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
6,Tucupita Marcano,Pittsburgh Pirates,Julio Urias,Los Angeles Dodgers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
7,Tucupita Marcano,Pittsburgh Pirates,Phil Bickford,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Tucupita Marcano,Pittsburgh Pirates,Caleb Ferguson,Los Angeles Dodgers,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
9,Tucupita Marcano,Pittsburgh Pirates,Evan Phillips,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,Tucupita Marcano,Pittsburgh Pirates,Shohei Ohtani,Los Angeles Angels,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Tucupita Marcano,Pittsburgh Pirates,Jason Adam,Tampa Bay Rays,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
12,Tucupita Marcano,Pittsburgh Pirates,Zach Eflin,Tampa Bay Rays,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
13,Tucupita Marcano,Pittsburgh Pirates,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Tucupita Marcano,Pittsburgh Pirates,Ryan Thompson,Tampa Bay Rays,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Tucupita Marcano,Pittsburgh Pirates,Steven Matz,St. Louis Cardinals,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
16,Tucupita Marcano,Pittsburgh Pirates,Jordan Montgomery,St. Louis Cardinals,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
17,Tucupita Marcano,Pittsburgh Pirates,Andre Pallante,St. Louis Cardinals,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
18,Tucupita Marcano,Pittsburgh Pirates,Genesis Cabrera,St. Louis Cardinals,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Tucupita Marcano,Pittsburgh Pirates,Jack Flaherty,St. Louis Cardinals,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Tucupita Marcano,Pittsburgh Pirates,Ryan Helsley,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Tucupita Marcano,Pittsburgh Pirates,Miles Mikolas,St. Louis Cardinals,3,0,0,0,0,0,2,0,1,.000,.400,.000,.400
22,Tucupita Marcano,Pittsburgh Pirates,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Tucupita Marcano,Pittsburgh Pirates,Jose Herrera,Arizona Diamondbacks,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
24,Tucupita Marcano,Pittsburgh Pirates,Zach Davies,Arizona Diamondbacks,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
25,Tucupita Marcano,Pittsburgh Pirates,Merrill Kelly,Arizona Diamondbacks,2,1,1,0,0,2,0,0,0,.500,.500,1.000,1.500
26,Tucupita Marcano,Pittsburgh Pirates,Zac Gallen,Arizona Diamondbacks,3,1,0,0,0,1,1,0,0,.333,.500,.333,.833
27,Tucupita Marcano,Pittsburgh Pirates,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Tucupita Marcano,Pittsburgh Pirates,Andrew Chafin,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Tucupita Marcano,Pittsburgh Pirates,Luis Frias,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,Tucupita Marcano,Pittsburgh Pirates,Tyler Gilbert,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Tucupita Marcano,Pittsburgh Pirates,Kevin Ginkel,Arizona Diamondbacks,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
32,Tucupita Marcano,Pittsburgh Pirates,Justin Martinez,Arizona Diamondbacks,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
33,Tucupita Marcano,Pittsburgh Pirates,Scott McGough,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Tucupita Marcano,Pittsburgh Pirates,Anthony Misiewicz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Tucupita Marcano,Pittsburgh Pirates,Kyle Nelson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
36,Tucupita Marcano,Pittsburgh Pirates,Brandon Pfaadt,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
37,Tucupita Marcano,Pittsburgh Pirates,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Tucupita Marcano,Pittsburgh Pirates,Luis Cessa,Cincinnati Reds,2,2,1,0,0,0,0,0,0,1.000,1.000,1.500,2.500
39,Tucupita Marcano,Pittsburgh Pirates,Hunter Greene,Cincinnati Reds,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
40,Tucupita Marcano,Pittsburgh Pirates,Fernando Cruz,Cincinnati Reds,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
41,Tucupita Marcano,Pittsburgh Pirates,Alex Young,Cincinnati Reds,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,Tucupita Marcano,Pittsburgh Pirates,Chris Bassitt,Toronto Blue Jays,2,1,0,0,0,0,1,0,0,.500,.667,.500,1.167
43,Tucupita Marcano,Pittsburgh Pirates,Jose Berrios,Toronto Blue Jays,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,Tucupita Marcano,Pittsburgh Pirates,Tim Mayza,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
45,Tucupita Marcano,Pittsburgh Pirates,Yennier Cano,Baltimore Orioles,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
46,Tucupita Marcano,Pittsburgh Pirates,Kyle Gibson,Baltimore Orioles,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
47,Tucupita Marcano,Pittsburgh Pirates,Kyle Bradish,Baltimore Orioles,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
48,Tucupita Marcano,Pittsburgh Pirates,Marcus Stroman,Chicago Cubs,5,2,1,0,0,1,1,0,1,.400,.500,.600,1.100
49,Tucupita Marcano,Pittsburgh Pirates,Adbert Alzolay,Chicago Cubs,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
