,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Tyler Heineman,Pittsburgh Pirates,Josh Winckowski,Boston Red Sox,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
1,Tyler Heineman,Pittsburgh Pirates,Ryan Brasier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,Tyler Heineman,Pittsburgh Pirates,Nick Pivetta,Boston Red Sox,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
3,Tyler Heineman,Pittsburgh Pirates,Bryan Abreu,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Tyler Heineman,Pittsburgh Pirates,Jose Urquidy,Houston Astros,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Tyler Heineman,Toronto Blue Jays,Ronel Blanco,Houston Astros,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
6,Tyler Heineman,Toronto Blue Jays,Ryne Stanek,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,Tyler Heineman,Toronto Blue Jays,Sonny Gray,Minnesota Twins,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
8,Tyler Heineman,Toronto Blue Jays,Pablo Lopez,Minnesota Twins,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
9,Tyler Heineman,Toronto Blue Jays,Sandy Alcantara,Miami Marlins,2,1,0,0,0,0,1,0,1,.500,.667,.500,1.167
10,Tyler Heineman,Toronto Blue Jays,Huascar Brazoban,Miami Marlins,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Tyler Heineman,Toronto Blue Jays,Stephen Nogosek,New York Mets,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Tyler Heineman,Toronto Blue Jays,Kodai Senga,New York Mets,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
13,Tyler Heineman,Pittsburgh Pirates,Michael Kopech,Chicago White Sox,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,Tyler Heineman,Pittsburgh Pirates,Jimmy Lambert,Chicago White Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Tyler Heineman,Toronto Blue Jays,Freddy Peralta,Milwaukee Brewers,2,1,1,0,0,0,0,0,0,.500,.500,1.000,1.500
16,Tyler Heineman,Toronto Blue Jays,Trevor Megill,Milwaukee Brewers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,Tyler Heineman,Toronto Blue Jays,Luis Medina,Oakland Athletics,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
18,Tyler Heineman,Toronto Blue Jays,Ken Waldichuk,Oakland Athletics,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
