,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Whit Merrifield,Toronto Blue Jays,Michael Tonkin,Atlanta Braves,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
1,Whit Merrifield,Toronto Blue Jays,Spencer Strider,Atlanta Braves,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
2,Whit Merrifield,Toronto Blue Jays,Jesse Chavez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
3,Whit Merrifield,Toronto Blue Jays,Bryce Elder,Atlanta Braves,2,0,0,0,0,1,0,0,0,.000,.000,.000,.000
4,Whit Merrifield,Toronto Blue Jays,Raisel Iglesias,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Whit Merrifield,Toronto Blue Jays,Joe Jimenez,Atlanta Braves,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
6,Whit Merrifield,Toronto Blue Jays,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Whit Merrifield,Toronto Blue Jays,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,Whit Merrifield,Toronto Blue Jays,Josh Sborz,Texas Rangers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
9,Whit Merrifield,Toronto Blue Jays,Jon Gray,Texas Rangers,2,1,0,0,0,2,0,0,0,.500,.500,.500,1.000
10,Whit Merrifield,Toronto Blue Jays,Martin Perez,Texas Rangers,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
11,Whit Merrifield,Toronto Blue Jays,Grant Anderson,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,Whit Merrifield,Toronto Blue Jays,Joe Barlow,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
13,Whit Merrifield,Toronto Blue Jays,Dane Dunning,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Whit Merrifield,Toronto Blue Jays,John King,Texas Rangers,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
15,Whit Merrifield,Toronto Blue Jays,Ryan Tepera,Los Angeles Angels,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
16,Whit Merrifield,Toronto Blue Jays,Reid Detmers,Los Angeles Angels,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
17,Whit Merrifield,Toronto Blue Jays,Patrick Sandoval,Los Angeles Angels,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
18,Whit Merrifield,Toronto Blue Jays,Tyler Anderson,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Whit Merrifield,Toronto Blue Jays,Jaime Barria,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.500,.000,.500
20,Whit Merrifield,Toronto Blue Jays,Jose Quijada,Los Angeles Angels,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Whit Merrifield,Toronto Blue Jays,Andrew Wantz,Los Angeles Angels,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
22,Whit Merrifield,Toronto Blue Jays,Jason Adam,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
23,Whit Merrifield,Toronto Blue Jays,Christian Bethancourt,Tampa Bay Rays,1,1,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000
24,Whit Merrifield,Toronto Blue Jays,Zack Burdi,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
25,Whit Merrifield,Toronto Blue Jays,Trevor Kelley,Tampa Bay Rays,2,2,1,0,0,1,0,0,0,1.000,1.000,1.500,2.500
26,Whit Merrifield,Toronto Blue Jays,Zack Littell,Tampa Bay Rays,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
27,Whit Merrifield,Toronto Blue Jays,Taj Bradley,Tampa Bay Rays,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
28,Whit Merrifield,Toronto Blue Jays,Josh Fleming,Tampa Bay Rays,4,2,0,0,1,2,0,0,0,.500,.500,1.250,1.750
29,Whit Merrifield,Toronto Blue Jays,Shane McClanahan,Tampa Bay Rays,6,1,1,0,0,0,0,0,1,.167,.167,.333,.500
30,Whit Merrifield,Toronto Blue Jays,Jake Diekman,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
31,Whit Merrifield,Toronto Blue Jays,Pete Fairbanks,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
32,Whit Merrifield,Toronto Blue Jays,Calvin Faucher,Tampa Bay Rays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,Whit Merrifield,Toronto Blue Jays,Kevin Kelly,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
34,Whit Merrifield,Toronto Blue Jays,Luke Raley,Tampa Bay Rays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,Whit Merrifield,Toronto Blue Jays,Ryan Brasier,Boston Red Sox,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
36,Whit Merrifield,Toronto Blue Jays,Corey Kluber,Boston Red Sox,3,1,1,0,0,0,0,0,0,.333,.333,.667,1.000
37,Whit Merrifield,Toronto Blue Jays,Brennan Bernardino,Boston Red Sox,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,Whit Merrifield,Toronto Blue Jays,Richard Bleier,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
39,Whit Merrifield,Toronto Blue Jays,Tanner Houck,Boston Red Sox,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
40,Whit Merrifield,Toronto Blue Jays,Joe Jacques,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,Whit Merrifield,Toronto Blue Jays,Chris Martin,Boston Red Sox,1,0,0,0,0,0,1,0,1,.000,.500,.000,.500
42,Whit Merrifield,Toronto Blue Jays,James Paxton,Boston Red Sox,2,0,0,0,0,0,1,0,2,.000,.333,.000,.333
43,Whit Merrifield,Toronto Blue Jays,Nick Pivetta,Boston Red Sox,4,0,0,0,0,0,0,0,2,.000,.000,.000,.000
44,Whit Merrifield,Toronto Blue Jays,Josh Winckowski,Boston Red Sox,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,Whit Merrifield,Toronto Blue Jays,Chris Stratton,St. Louis Cardinals,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
46,Whit Merrifield,Toronto Blue Jays,Ryan Helsley,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
47,Whit Merrifield,Toronto Blue Jays,Miles Mikolas,St. Louis Cardinals,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
48,Whit Merrifield,Toronto Blue Jays,Jordan Montgomery,St. Louis Cardinals,1,0,0,0,0,1,0,0,1,.000,.000,.000,.000
49,Whit Merrifield,Toronto Blue Jays,Packy Naughton,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
50,Whit Merrifield,Toronto Blue Jays,Andre Pallante,St. Louis Cardinals,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
51,Whit Merrifield,Toronto Blue Jays,Zack Thompson,St. Louis Cardinals,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
52,Whit Merrifield,Toronto Blue Jays,Austin Adams,Arizona Diamondbacks,1,1,0,0,0,2,0,0,0,1.000,1.000,1.000,2.000
53,Whit Merrifield,Toronto Blue Jays,Zac Gallen,Arizona Diamondbacks,2,2,0,0,1,1,0,0,0,1.000,1.000,2.500,3.500
54,Whit Merrifield,Toronto Blue Jays,Scott McGough,Arizona Diamondbacks,1,1,0,0,0,1,0,0,0,1.000,.500,1.000,1.500
55,Whit Merrifield,Toronto Blue Jays,Ryne Nelson,Arizona Diamondbacks,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
56,Whit Merrifield,Toronto Blue Jays,Miguel Castro,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
57,Whit Merrifield,Toronto Blue Jays,Kevin Ginkel,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
58,Whit Merrifield,Toronto Blue Jays,Tommy Henry,Arizona Diamondbacks,1,0,0,0,0,0,1,0,0,.000,.500,.000,.500
59,Whit Merrifield,Toronto Blue Jays,Justin Martinez,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
60,Whit Merrifield,Toronto Blue Jays,Danny Coulombe,Baltimore Orioles,1,1,1,0,0,1,0,0,0,1.000,1.000,2.000,3.000
61,Whit Merrifield,Toronto Blue Jays,Reed Garrett,Baltimore Orioles,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
62,Whit Merrifield,Toronto Blue Jays,Austin Voth,Baltimore Orioles,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
63,Whit Merrifield,Toronto Blue Jays,Kyle Bradish,Baltimore Orioles,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
64,Whit Merrifield,Toronto Blue Jays,Yennier Cano,Baltimore Orioles,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
65,Whit Merrifield,Toronto Blue Jays,Kyle Gibson,Baltimore Orioles,2,1,0,0,0,0,1,0,1,.500,.667,.500,1.167
66,Whit Merrifield,Toronto Blue Jays,Tyler Wells,Baltimore Orioles,2,1,1,0,0,0,1,0,1,.500,.667,1.000,1.667
67,Whit Merrifield,Toronto Blue Jays,Dean Kremer,Baltimore Orioles,6,1,0,0,0,0,0,0,1,.167,.167,.167,.334
68,Whit Merrifield,Toronto Blue Jays,Felix Bautista,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
69,Whit Merrifield,Toronto Blue Jays,Mychal Givens,Baltimore Orioles,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
70,Whit Merrifield,Toronto Blue Jays,Seranthony Dominguez,Philadelphia Phillies,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
71,Whit Merrifield,Toronto Blue Jays,Connor Brogdon,Philadelphia Phillies,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
72,Whit Merrifield,Toronto Blue Jays,Aaron Nola,Philadelphia Phillies,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
73,Whit Merrifield,Toronto Blue Jays,Zack Wheeler,Philadelphia Phillies,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
74,Whit Merrifield,Toronto Blue Jays,Blake Snell,San Diego Padres,3,2,0,0,0,0,0,0,1,.667,.667,.667,1.334
75,Whit Merrifield,Toronto Blue Jays,Joe Musgrove,San Diego Padres,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
76,Whit Merrifield,Toronto Blue Jays,Yu Darvish,San Diego Padres,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
77,Whit Merrifield,Toronto Blue Jays,Luis Garcia,San Diego Padres,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
78,Whit Merrifield,Toronto Blue Jays,Nick Martinez,San Diego Padres,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
79,Whit Merrifield,Toronto Blue Jays,Jose Urquidy,Houston Astros,2,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
80,Whit Merrifield,Toronto Blue Jays,Rafael Montero,Houston Astros,3,2,2,0,0,2,0,0,0,.667,.667,1.333,2.000
81,Whit Merrifield,Toronto Blue Jays,Luis Garcia,Houston Astros,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
82,Whit Merrifield,Toronto Blue Jays,Framber Valdez,Houston Astros,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
83,Whit Merrifield,Toronto Blue Jays,Brandon Bielak,Houston Astros,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
84,Whit Merrifield,Toronto Blue Jays,Bryan Abreu,Houston Astros,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
85,Whit Merrifield,Toronto Blue Jays,Ronel Blanco,Houston Astros,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
86,Whit Merrifield,Toronto Blue Jays,Hunter Brown,Houston Astros,2,0,0,0,0,0,1,0,0,.000,.333,.000,.333
87,Whit Merrifield,Toronto Blue Jays,Seth Martinez,Houston Astros,0,0,0,0,0,0,0,0,0,.000,1.000,.000,1.000
88,Whit Merrifield,Toronto Blue Jays,Phil Maton,Houston Astros,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
89,Whit Merrifield,Toronto Blue Jays,Hector Neris,Houston Astros,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
