,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Willson Contreras,St. Louis Cardinals,Dylan Dodd,Atlanta Braves,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
1,Willson Contreras,St. Louis Cardinals,Charlie Morton,Atlanta Braves,3,1,0,0,0,0,0,0,0,.333,.333,.333,.666
2,Willson Contreras,St. Louis Cardinals,Nick Anderson,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,Willson Contreras,St. Louis Cardinals,Joe Jimenez,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Willson Contreras,St. Louis Cardinals,Dylan Lee,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Willson Contreras,St. Louis Cardinals,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,Willson Contreras,St. Louis Cardinals,Kirby Yates,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
7,Willson Contreras,St. Louis Cardinals,Dane Dunning,Texas Rangers,2,1,0,0,1,1,0,0,0,.500,.667,2.000,2.667
8,Willson Contreras,St. Louis Cardinals,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Willson Contreras,St. Louis Cardinals,Jon Gray,Texas Rangers,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Willson Contreras,St. Louis Cardinals,Martin Perez,Texas Rangers,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,Willson Contreras,St. Louis Cardinals,Josh Sborz,Texas Rangers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Willson Contreras,St. Louis Cardinals,Brusdar Graterol,Los Angeles Dodgers,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
13,Willson Contreras,St. Louis Cardinals,Noah Syndergaard,Los Angeles Dodgers,5,3,0,0,0,1,0,0,0,.600,.600,.600,1.200
14,Willson Contreras,St. Louis Cardinals,Julio Urias,Los Angeles Dodgers,2,1,0,0,1,3,0,0,1,.500,.500,2.000,2.500
15,Willson Contreras,St. Louis Cardinals,Yency Almonte,Los Angeles Dodgers,3,1,0,0,1,3,0,0,0,.333,.333,1.333,1.666
16,Willson Contreras,St. Louis Cardinals,Phil Bickford,Los Angeles Dodgers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,Willson Contreras,St. Louis Cardinals,Tyler Cyr,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,Willson Contreras,St. Louis Cardinals,Caleb Ferguson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
19,Willson Contreras,St. Louis Cardinals,Tony Gonsolin,Los Angeles Dodgers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,Willson Contreras,St. Louis Cardinals,Andre Jackson,Los Angeles Dodgers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,Willson Contreras,St. Louis Cardinals,Clayton Kershaw,Los Angeles Dodgers,5,0,0,0,0,0,0,0,2,.000,.000,.000,.000
22,Willson Contreras,St. Louis Cardinals,Dustin May,Los Angeles Dodgers,1,0,0,0,0,1,0,0,0,.000,.000,.000,.000
23,Willson Contreras,St. Louis Cardinals,Shelby Miller,Los Angeles Dodgers,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Willson Contreras,St. Louis Cardinals,Wander Suero,Los Angeles Dodgers,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,Willson Contreras,St. Louis Cardinals,Griffin Canning,Los Angeles Angels,2,2,2,0,0,2,1,0,0,1.000,1.000,2.000,3.000
