,player_name,player_team,pitcher_name,pitcher_team,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,Zack Short,Detroit Tigers,Nick Anderson,Atlanta Braves,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
1,Zack Short,Detroit Tigers,Raisel Iglesias,Atlanta Braves,2,1,0,0,0,1,0,0,0,.500,.500,.500,1.000
2,Zack Short,Detroit Tigers,Dylan Dodd,Atlanta Braves,3,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,Zack Short,Detroit Tigers,Collin McHugh,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
4,Zack Short,Detroit Tigers,A.J. Minter,Atlanta Braves,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,Zack Short,Detroit Tigers,Charlie Morton,Atlanta Braves,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,Zack Short,Detroit Tigers,Martin Perez,Texas Rangers,3,2,0,0,0,1,0,0,0,.667,.667,.667,1.334
7,Zack Short,Detroit Tigers,Jonathan Hernandez,Texas Rangers,2,1,0,0,0,0,0,0,0,.500,.500,.500,1.000
8,Zack Short,Detroit Tigers,Grant Anderson,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,Zack Short,Detroit Tigers,Cody Bradford,Texas Rangers,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,Zack Short,Detroit Tigers,Brock Burke,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,Zack Short,Detroit Tigers,Dane Dunning,Texas Rangers,5,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,Zack Short,Detroit Tigers,Nathan Eovaldi,Texas Rangers,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,Zack Short,Detroit Tigers,Andrew Heaney,Texas Rangers,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,Zack Short,Detroit Tigers,John King,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,Zack Short,Detroit Tigers,Yerry Rodriguez,Texas Rangers,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
16,Zack Short,Detroit Tigers,Adam Wainwright,St. Louis Cardinals,2,1,1,0,0,0,0,0,1,.500,.500,1.000,1.500
17,Zack Short,Detroit Tigers,Giovanny Gallegos,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,Zack Short,Detroit Tigers,Jordan Montgomery,St. Louis Cardinals,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,Zack Short,Detroit Tigers,Chris Stratton,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,Zack Short,Detroit Tigers,Drew VerHagen,St. Louis Cardinals,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,Zack Short,Detroit Tigers,Merrill Kelly,Arizona Diamondbacks,2,1,1,0,0,2,0,0,1,.500,.333,1.000,1.333
22,Zack Short,Detroit Tigers,Austin Adams,Arizona Diamondbacks,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,Zack Short,Detroit Tigers,Drey Jameson,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,Zack Short,Detroit Tigers,Ryne Nelson,Arizona Diamondbacks,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,Zack Short,Detroit Tigers,Jose Ruiz,Arizona Diamondbacks,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,Zack Short,Detroit Tigers,Bowden Francis,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,Zack Short,Detroit Tigers,Yimi Garcia,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
28,Zack Short,Detroit Tigers,Kevin Gausman,Toronto Blue Jays,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
29,Zack Short,Detroit Tigers,Tim Mayza,Toronto Blue Jays,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
30,Zack Short,Detroit Tigers,Nate Pearson,Toronto Blue Jays,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
31,Zack Short,Detroit Tigers,Danny Coulombe,Baltimore Orioles,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
32,Zack Short,Detroit Tigers,DL Hall,Baltimore Orioles,2,2,0,0,1,1,0,0,0,1.000,1.000,2.500,3.500
33,Zack Short,Detroit Tigers,Dean Kremer,Baltimore Orioles,2,1,0,0,0,0,0,0,1,.500,.500,.500,1.000
34,Zack Short,Detroit Tigers,Keegan Akin,Baltimore Orioles,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
35,Zack Short,Detroit Tigers,Bryan Baker,Baltimore Orioles,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,Zack Short,Detroit Tigers,Seranthony Dominguez,Philadelphia Phillies,1,1,0,0,0,1,0,0,0,1.000,1.000,1.000,2.000
37,Zack Short,Detroit Tigers,Andrew Vasquez,Philadelphia Phillies,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
38,Zack Short,Detroit Tigers,Taijuan Walker,Philadelphia Phillies,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
39,Zack Short,Detroit Tigers,Craig Kimbrel,Philadelphia Phillies,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
40,Zack Short,Detroit Tigers,Zack Wheeler,Philadelphia Phillies,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,Zack Short,Detroit Tigers,Jackson Wolf,San Diego Padres,2,1,0,0,0,2,0,0,0,.500,.500,.500,1.000
42,Zack Short,Detroit Tigers,Tom Cosgrove,San Diego Padres,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
43,Zack Short,Detroit Tigers,Luis Garcia,San Diego Padres,1,0,0,0,0,0,0,0,1,.000,.000,.000,.000
44,Zack Short,Detroit Tigers,Brent Honeywell,San Diego Padres,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000
