,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2009,433,124,26,9,12,54,54,2,83,.286,.365,.471,.836
1,2010,570,163,35,5,16,56,70,1,89,.286,.365,.449,.814
2,2011,572,148,34,5,23,89,89,3,126,.259,.364,.456,.820
3,2012,593,194,29,6,31,96,70,13,132,.327,.400,.553,.953
4,2013,583,185,38,5,21,84,78,12,101,.317,.404,.508,.912
5,2014,548,172,38,6,25,83,84,8,115,.314,.410,.542,.952
6,2015,566,165,36,3,23,96,98,12,133,.292,.401,.488,.889
7,2016,598,153,26,3,24,79,69,7,143,.256,.336,.430,.766
8,2017,570,159,30,2,28,88,73,5,116,.279,.363,.486,.849
9,2018,482,123,28,2,15,55,73,1,123,.255,.357,.415,.772
10,2018,87,22,2,1,5,10,22,0,22,.253,.421,.471,.892
11,2018,569,145,30,3,20,65,95,1,145,.255,.368,.424,.792
12,2019,219,56,12,1,10,29,43,0,55,.256,.378,.457,.835
13,2020,217,55,9,0,10,34,22,0,48,.253,.324,.433,.757
14,2021,482,107,24,1,27,80,81,2,132,.222,.334,.444,.778
15,2022,515,122,25,0,17,69,57,1,124,.237,.316,.384,.700
16,2023,281,75,12,0,10,28,52,1,69,.267,.381,.416,.797
17,2009,433,124,26,9,12,54,54,2,83,.286,.365,.471,.836
18,2010,570,163,35,5,16,56,70,1,89,.286,.365,.449,.814
19,2011,572,148,34,5,23,89,89,3,126,.259,.364,.456,.820
20,2012,593,194,29,6,31,96,70,13,132,.327,.400,.553,.953
21,2013,583,185,38,5,21,84,78,12,101,.317,.404,.508,.912
22,2014,548,172,38,6,25,83,84,8,115,.314,.410,.542,.952
23,2015,566,165,36,3,23,96,98,12,133,.292,.401,.488,.889
24,2016,598,153,26,3,24,79,69,7,143,.256,.336,.430,.766
25,2017,570,159,30,2,28,88,73,5,116,.279,.363,.486,.849
26,2018,482,123,28,2,15,55,73,1,123,.255,.357,.415,.772
27,2018,87,22,2,1,5,10,22,0,22,.253,.421,.471,.892
28,2018,569,145,30,3,20,65,95,1,145,.255,.368,.424,.792
29,2019,219,56,12,1,10,29,43,0,55,.256,.378,.457,.835
30,2020,217,55,9,0,10,34,22,0,48,.253,.324,.433,.757
31,2021,482,107,24,1,27,80,81,2,132,.222,.334,.444,.778
32,2022,515,122,25,0,17,69,57,1,124,.237,.316,.384,.700
33,2023,281,75,12,0,10,28,52,1,69,.267,.381,.416,.797
34,2009,433,124,26,9,12,54,54,2,83,.286,.365,.471,.836
35,2010,570,163,35,5,16,56,70,1,89,.286,.365,.449,.814
36,2011,572,148,34,5,23,89,89,3,126,.259,.364,.456,.820
37,2012,593,194,29,6,31,96,70,13,132,.327,.400,.553,.953
38,2013,583,185,38,5,21,84,78,12,101,.317,.404,.508,.912
39,2014,548,172,38,6,25,83,84,8,115,.314,.410,.542,.952
40,2015,566,165,36,3,23,96,98,12,133,.292,.401,.488,.889
41,2016,598,153,26,3,24,79,69,7,143,.256,.336,.430,.766
42,2017,570,159,30,2,28,88,73,5,116,.279,.363,.486,.849
43,2018,482,123,28,2,15,55,73,1,123,.255,.357,.415,.772
44,2018,87,22,2,1,5,10,22,0,22,.253,.421,.471,.892
45,2018,569,145,30,3,20,65,95,1,145,.255,.368,.424,.792
46,2019,219,56,12,1,10,29,43,0,55,.256,.378,.457,.835
47,2020,217,55,9,0,10,34,22,0,48,.253,.324,.433,.757
48,2021,482,107,24,1,27,80,81,2,132,.222,.334,.444,.778
49,2022,515,122,25,0,17,69,57,1,124,.237,.316,.384,.700
50,2023,281,75,12,0,10,28,52,1,69,.267,.381,.416,.797
51,2009,433,124,26,9,12,54,54,2,83,.286,.365,.471,.836
52,2010,570,163,35,5,16,56,70,1,89,.286,.365,.449,.814
53,2011,572,148,34,5,23,89,89,3,126,.259,.364,.456,.820
54,2012,593,194,29,6,31,96,70,13,132,.327,.400,.553,.953
55,2013,583,185,38,5,21,84,78,12,101,.317,.404,.508,.912
56,2014,548,172,38,6,25,83,84,8,115,.314,.410,.542,.952
57,2015,566,165,36,3,23,96,98,12,133,.292,.401,.488,.889
58,2016,598,153,26,3,24,79,69,7,143,.256,.336,.430,.766
59,2017,570,159,30,2,28,88,73,5,116,.279,.363,.486,.849
60,2018,482,123,28,2,15,55,73,1,123,.255,.357,.415,.772
61,2018,87,22,2,1,5,10,22,0,22,.253,.421,.471,.892
62,2018,569,145,30,3,20,65,95,1,145,.255,.368,.424,.792
63,2019,219,56,12,1,10,29,43,0,55,.256,.378,.457,.835
64,2020,217,55,9,0,10,34,22,0,48,.253,.324,.433,.757
65,2021,482,107,24,1,27,80,81,2,132,.222,.334,.444,.778
66,2022,515,122,25,0,17,69,57,1,124,.237,.316,.384,.700
67,2023,281,75,12,0,10,28,52,1,69,.267,.381,.416,.797
68,2009,433,124,26,9,12,54,54,2,83,.286,.365,.471,.836
