,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
1,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
2,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
3,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
4,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
5,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
6,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
7,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
8,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
9,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
10,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
11,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
12,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
13,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
14,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
15,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
16,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
17,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
18,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
19,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
20,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
21,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
22,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
23,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
24,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
25,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
26,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
27,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
28,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
29,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
30,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
31,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
32,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
33,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
34,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
35,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
36,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
37,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
38,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
39,2021,173,47,12,0,2,29,14,0,19,.272,.340,.376,.716
40,2022,347,87,15,0,4,40,34,1,60,.251,.321,.329,.650
41,2023,130,19,3,0,1,8,18,0,31,.146,.260,.192,.452
42,2019,238,64,12,1,10,31,23,1,63,.269,.342,.454,.796
43,2020,98,30,5,1,5,19,9,1,17,.306,.373,.531,.904
44,2020,63,14,4,0,2,9,9,0,17,.222,.324,.381,.705
45,2020,161,44,9,1,7,28,18,1,34,.273,.353,.472,.825
