,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
1,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
2,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
3,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
4,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
5,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
6,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
7,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
8,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
9,2019,489,138,25,2,20,72,31,2,125,.282,.332,.464,.796
10,2020,181,43,10,0,2,15,20,2,49,.238,.333,.326,.659
11,2021,461,121,18,0,29,86,38,5,121,.262,.330,.490,.820
12,2022,357,80,9,0,8,35,17,0,109,.224,.266,.317,.583
13,2023,69,13,1,0,3,8,3,0,23,.188,.243,.333,.576
14,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
15,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
16,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
17,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
18,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
19,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
20,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
21,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
22,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
23,2019,489,138,25,2,20,72,31,2,125,.282,.332,.464,.796
24,2020,181,43,10,0,2,15,20,2,49,.238,.333,.326,.659
25,2021,461,121,18,0,29,86,38,5,121,.262,.330,.490,.820
26,2022,357,80,9,0,8,35,17,0,109,.224,.266,.317,.583
27,2023,69,13,1,0,3,8,3,0,23,.188,.243,.333,.576
28,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
29,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
30,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
31,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
32,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
33,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
34,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
35,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
36,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
37,2019,489,138,25,2,20,72,31,2,125,.282,.332,.464,.796
38,2020,181,43,10,0,2,15,20,2,49,.238,.333,.326,.659
39,2021,461,121,18,0,29,86,38,5,121,.262,.330,.490,.820
40,2022,357,80,9,0,8,35,17,0,109,.224,.266,.317,.583
41,2023,69,13,1,0,3,8,3,0,23,.188,.243,.333,.576
42,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
43,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
44,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
45,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
46,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
47,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
48,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
49,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
50,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
51,2019,489,138,25,2,20,72,31,2,125,.282,.332,.464,.796
52,2020,181,43,10,0,2,15,20,2,49,.238,.333,.326,.659
53,2021,461,121,18,0,29,86,38,5,121,.262,.330,.490,.820
54,2022,357,80,9,0,8,35,17,0,109,.224,.266,.317,.583
55,2023,69,13,1,0,3,8,3,0,23,.188,.243,.333,.576
56,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
57,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
58,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
59,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
60,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
61,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
62,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
63,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
64,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
65,2019,489,138,25,2,20,72,31,2,125,.282,.332,.464,.796
66,2020,181,43,10,0,2,15,20,2,49,.238,.333,.326,.659
67,2021,461,121,18,0,29,86,38,5,121,.262,.330,.490,.820
68,2022,357,80,9,0,8,35,17,0,109,.224,.266,.317,.583
69,2023,69,13,1,0,3,8,3,0,23,.188,.243,.333,.576
70,2012,47,15,0,0,0,3,3,1,10,.319,.373,.319,.692
71,2013,83,20,3,1,2,10,4,0,21,.241,.273,.373,.646
72,2013,161,49,4,2,5,21,5,0,38,.304,.327,.447,.774
73,2013,244,69,7,3,7,31,9,0,59,.283,.309,.422,.731
74,2014,172,42,8,0,7,29,14,1,44,.244,.305,.413,.718
75,2015,553,142,17,2,13,59,36,3,141,.257,.309,.365,.674
76,2016,413,101,18,2,12,51,34,0,115,.245,.307,.385,.692
77,2017,518,171,27,5,18,80,33,5,111,.330,.380,.506,.886
78,2018,356,84,11,2,19,49,20,2,102,.236,.281,.438,.719
