,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
1,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
2,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
3,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
4,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
5,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
6,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
7,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
8,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
9,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
10,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
11,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
12,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
13,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
14,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
15,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
16,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
17,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
18,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
19,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
20,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
21,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
22,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
23,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
24,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
25,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
26,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
27,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
28,2023,106,23,4,0,2,15,14,0,34,.217,.308,.311,.619
