,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
1,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
2,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
3,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
4,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
5,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
6,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
7,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
8,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
9,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
10,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
11,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
12,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
13,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
14,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
15,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
16,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
17,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
18,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
19,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
20,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
21,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
22,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
23,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
24,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
25,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
26,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
27,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
28,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
29,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
30,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
31,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
32,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
33,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
34,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
35,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
36,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
37,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
38,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
39,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
40,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
41,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
42,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
43,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
44,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
45,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
46,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
47,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
48,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
49,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
50,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
51,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
52,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
53,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
54,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
55,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
56,2022,113,20,7,0,1,7,10,0,31,.177,.244,.265,.509
57,2023,26,4,1,0,0,0,4,0,7,.154,.267,.192,.459
