,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
1,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
2,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
3,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
4,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
5,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
6,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
7,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
8,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
9,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
10,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
11,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
12,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
13,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
14,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
16,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
17,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
18,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
19,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
20,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
21,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
22,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
23,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
24,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
25,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
26,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
27,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
28,2023,4,0,0,0,0,0,0,0,1,.000,.000,.000,.000
