,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
1,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
2,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
3,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
4,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
5,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
6,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
7,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
8,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
9,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
10,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
11,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
12,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
13,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
14,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
15,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
16,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
17,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
18,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
19,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
20,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
21,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
22,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
23,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
24,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
25,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
26,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
27,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
28,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
29,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
30,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
31,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
32,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
33,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
34,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
35,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
36,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
37,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
38,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
39,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
40,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
41,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
42,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
43,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
44,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
45,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
46,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
47,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
48,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
49,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
50,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
51,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
52,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
53,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
54,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
55,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
56,2022,187,38,4,1,6,16,13,0,44,.203,.261,.332,.593
57,2023,23,3,1,0,0,1,0,0,10,.130,.130,.174,.304
