,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
1,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
2,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
3,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
4,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
5,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
6,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
7,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
8,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
9,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
10,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
11,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
12,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
13,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
14,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
15,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
16,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
17,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
18,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
19,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
20,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
21,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
22,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
23,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
24,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
25,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
26,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
27,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
28,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
29,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
30,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
31,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
32,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
33,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
34,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
35,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
36,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
37,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
38,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
39,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
40,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
41,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
42,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
43,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
44,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
45,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
46,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
47,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
48,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
49,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
50,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
51,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
52,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
53,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
54,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
55,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
56,2022,18,1,0,0,1,1,4,0,14,.056,.227,.222,.449
57,2023,5,0,0,0,0,0,1,0,5,.000,.167,.000,.167
