,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2012,22,3,0,0,0,1,0,0,7,.136,.136,.136,.272
1,2013,99,29,5,0,2,12,4,1,23,.293,.317,.404,.721
2,2014,210,41,7,2,3,24,12,2,62,.195,.253,.290,.543
3,2016,67,20,3,0,1,7,1,0,13,.299,.309,.388,.697
4,2017,13,2,1,0,0,1,2,0,4,.154,.267,.231,.498
5,2018,296,80,18,2,12,45,21,5,85,.270,.326,.466,.792
6,2019,135,35,5,2,5,20,6,0,44,.259,.294,.437,.731
7,2020,7,1,1,0,0,1,0,0,4,.143,.143,.286,.429
8,2021,247,60,15,2,5,22,17,1,64,.243,.296,.381,.677
9,2022,115,29,6,0,2,12,5,0,31,.252,.283,.357,.640
10,2023,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
11,2012,22,3,0,0,0,1,0,0,7,.136,.136,.136,.272
12,2013,99,29,5,0,2,12,4,1,23,.293,.317,.404,.721
13,2014,210,41,7,2,3,24,12,2,62,.195,.253,.290,.543
14,2016,67,20,3,0,1,7,1,0,13,.299,.309,.388,.697
15,2017,13,2,1,0,0,1,2,0,4,.154,.267,.231,.498
16,2018,296,80,18,2,12,45,21,5,85,.270,.326,.466,.792
17,2019,135,35,5,2,5,20,6,0,44,.259,.294,.437,.731
18,2020,7,1,1,0,0,1,0,0,4,.143,.143,.286,.429
19,2021,247,60,15,2,5,22,17,1,64,.243,.296,.381,.677
20,2022,115,29,6,0,2,12,5,0,31,.252,.283,.357,.640
21,2023,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
22,2012,22,3,0,0,0,1,0,0,7,.136,.136,.136,.272
23,2013,99,29,5,0,2,12,4,1,23,.293,.317,.404,.721
24,2014,210,41,7,2,3,24,12,2,62,.195,.253,.290,.543
25,2016,67,20,3,0,1,7,1,0,13,.299,.309,.388,.697
26,2017,13,2,1,0,0,1,2,0,4,.154,.267,.231,.498
27,2018,296,80,18,2,12,45,21,5,85,.270,.326,.466,.792
28,2019,135,35,5,2,5,20,6,0,44,.259,.294,.437,.731
29,2020,7,1,1,0,0,1,0,0,4,.143,.143,.286,.429
30,2021,247,60,15,2,5,22,17,1,64,.243,.296,.381,.677
31,2022,115,29,6,0,2,12,5,0,31,.252,.283,.357,.640
32,2023,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
33,2012,22,3,0,0,0,1,0,0,7,.136,.136,.136,.272
34,2013,99,29,5,0,2,12,4,1,23,.293,.317,.404,.721
35,2014,210,41,7,2,3,24,12,2,62,.195,.253,.290,.543
36,2016,67,20,3,0,1,7,1,0,13,.299,.309,.388,.697
