,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
1,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
2,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
3,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
4,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
5,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
6,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
7,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
8,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
9,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
10,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
11,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
12,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
13,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
14,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
15,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
16,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
17,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
18,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
19,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
20,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
21,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
22,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
23,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
24,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
25,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
26,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
27,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
28,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
29,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
30,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
31,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
32,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
33,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
34,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
35,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
36,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
37,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
38,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
39,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
40,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
41,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
42,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
43,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
44,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
45,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
46,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
47,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
48,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
49,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
50,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
51,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
52,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
53,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
54,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
55,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
56,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
57,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
58,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
59,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
60,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
61,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
62,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
63,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
64,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
65,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
66,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
67,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
68,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
69,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
70,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
71,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
72,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
73,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
74,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
75,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
76,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
77,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
78,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
79,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
80,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
81,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
82,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
83,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
84,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
85,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
86,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
87,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
88,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
89,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
90,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
91,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
92,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
93,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
94,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
95,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
96,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
97,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
98,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
99,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
100,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
101,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
102,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
103,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
104,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
105,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
106,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
107,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
108,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
109,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
110,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
111,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
112,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
113,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
114,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
115,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
116,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
117,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
118,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
119,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
120,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
121,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
122,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
123,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
124,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
125,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
126,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
127,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
128,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
129,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
130,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
131,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
132,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
133,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
134,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
135,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
136,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
137,2018,574,187,34,7,36,110,68,2,135,.326,.402,.598,1.000
138,2019,489,161,29,3,44,97,80,16,118,.329,.429,.671,1.100
139,2020,200,41,7,1,12,22,46,2,76,.205,.356,.430,.786
140,2021,399,99,19,2,9,51,70,5,113,.248,.362,.373,.735
141,2022,575,145,25,4,14,57,88,5,162,.252,.355,.383,.738
142,2023,364,105,23,2,14,54,48,3,87,.288,.376,.478,.854
143,2013,240,69,12,1,4,16,31,1,66,.288,.370,.396,.766
144,2014,582,165,30,6,9,54,70,3,137,.284,.362,.402,.764
145,2015,476,143,30,2,7,44,47,2,101,.300,.366,.416,.782
146,2016,578,172,38,3,21,98,72,4,138,.298,.376,.483,.859
147,2017,602,170,36,2,18,81,80,4,137,.282,.369,.439,.808
