,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
1,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
2,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
3,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
4,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
5,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
6,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
7,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
8,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
9,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
10,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
11,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
12,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
13,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
14,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
15,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
16,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
17,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
18,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
19,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
20,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
21,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
22,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
23,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
24,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
25,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
26,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
27,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
28,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
29,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
30,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
31,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
32,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
33,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
34,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
35,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
36,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
37,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
38,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
39,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
40,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
41,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
42,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
43,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
44,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
45,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
46,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
47,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
48,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
49,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
50,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
51,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
52,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
53,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
54,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
55,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
56,2022,30,8,0,0,0,0,2,0,12,.267,.313,.267,.580
57,2023,26,8,2,0,1,2,3,0,9,.308,.379,.500,.879
