,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
1,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
2,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
3,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
4,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
5,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
6,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
7,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
8,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
9,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
10,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
11,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
12,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
13,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
14,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
15,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
16,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
17,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
18,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
19,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
20,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
21,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
22,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
23,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
24,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
25,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
26,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
27,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
28,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
29,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
30,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
31,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
32,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
33,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
34,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
35,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
36,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
37,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
38,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
39,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
40,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
41,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
42,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
43,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
44,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
45,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
46,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
47,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
48,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
49,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
50,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
51,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
52,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
53,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
54,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
55,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
56,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
57,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
58,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
59,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
60,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
61,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
62,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
63,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
64,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
65,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
66,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
67,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
68,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
69,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
70,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
71,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
72,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
73,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
74,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
75,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
76,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
77,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
78,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
79,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
80,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
81,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
82,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
83,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
84,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
85,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
86,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
87,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
88,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
89,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
90,2022,404,96,20,4,7,28,55,0,97,.238,.338,.359,.697
91,2023,254,61,19,3,7,25,28,0,79,.240,.330,.421,.751
92,2019,15,1,0,0,0,0,1,0,5,.067,.125,.067,.192
93,2021,179,51,9,0,8,35,26,0,41,.285,.379,.469,.848
