,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
1,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
2,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
3,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
4,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
5,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
6,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
7,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
8,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
9,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
10,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
11,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
12,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
13,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
14,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
15,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
16,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
17,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
18,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
19,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
20,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
21,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
22,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
23,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
24,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
25,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
26,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
27,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
28,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
29,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
30,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
31,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
32,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
33,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
34,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
35,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
36,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
37,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
38,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
39,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
40,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
41,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
42,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
43,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
44,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
45,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
46,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
47,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
48,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
49,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
50,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
51,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
52,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
53,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
54,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
55,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
56,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
57,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
58,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
59,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
60,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
61,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
62,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
63,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
64,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
65,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
66,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
67,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
68,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
69,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
70,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
71,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
72,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
73,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
74,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
75,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
76,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
77,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
78,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
79,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
80,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
81,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
82,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
83,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
84,2021,13,4,1,1,0,1,1,0,7,.308,.357,.538,.895
85,2022,48,9,3,0,1,7,5,0,16,.188,.273,.313,.586
86,2023,229,57,19,0,6,23,16,0,85,.249,.308,.410,.718
