,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
1,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
2,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
3,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
4,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
5,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
6,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
7,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
8,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
9,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
10,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
11,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
12,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
13,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
14,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
15,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
16,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
17,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
18,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
19,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
20,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
21,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
22,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
23,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
24,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
25,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
26,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
27,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
28,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
29,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
30,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
31,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
32,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
33,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
34,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
35,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
36,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
37,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
38,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
39,2021,270,55,10,0,12,33,44,1,89,.204,.324,.374,.698
40,2022,3,0,0,0,0,0,0,0,2,.000,.000,.000,.000
41,2023,13,3,0,0,1,2,3,0,4,.231,.353,.462,.815
42,2018,40,10,3,0,3,10,4,0,12,.250,.340,.550,.890
43,2019,126,30,6,0,4,15,14,1,26,.238,.317,.381,.698
44,2020,88,17,2,0,7,15,20,0,38,.193,.355,.455,.810
