,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
1,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
2,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
3,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
4,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
5,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
6,2022,640,177,32,1,25,96,49,0,182,.277,.329,.447,.776
7,2023,333,88,16,2,10,38,40,0,86,.264,.348,.414,.762
8,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
9,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
10,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
11,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
12,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
13,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
14,2022,640,177,32,1,25,96,49,0,182,.277,.329,.447,.776
15,2023,333,88,16,2,10,38,40,0,86,.264,.348,.414,.762
16,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
17,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
18,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
19,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
20,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
21,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
22,2022,640,177,32,1,25,96,49,0,182,.277,.329,.447,.776
23,2023,333,88,16,2,10,38,40,0,86,.264,.348,.414,.762
24,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
25,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
26,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
27,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
28,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
29,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
30,2022,640,177,32,1,25,96,49,0,182,.277,.329,.447,.776
31,2023,333,88,16,2,10,38,40,0,86,.264,.348,.414,.762
32,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
33,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
34,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
35,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
36,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
37,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
38,2022,640,177,32,1,25,96,49,0,182,.277,.329,.447,.776
39,2023,333,88,16,2,10,38,40,0,86,.264,.348,.414,.762
40,2016,129,39,7,1,3,17,13,5,34,.302,.361,.442,.803
41,2017,488,113,23,2,6,51,59,10,120,.232,.312,.324,.636
42,2018,478,114,25,4,14,59,44,15,122,.238,.304,.395,.699
43,2019,483,121,26,3,17,65,51,2,124,.251,.325,.422,.747
44,2020,237,65,15,0,10,35,22,0,71,.274,.345,.464,.809
45,2021,588,146,33,2,27,88,52,4,167,.248,.311,.449,.760
