,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
1,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
2,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
3,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
4,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
5,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
6,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
7,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
8,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
9,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
10,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
11,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
12,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
13,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
14,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
15,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
16,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
17,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
18,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
19,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
20,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
21,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
22,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
23,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
24,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
25,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
26,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
27,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
28,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
29,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
30,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
31,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
32,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
33,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
34,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
35,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
36,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
37,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
38,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
39,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
40,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
41,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
42,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
43,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
44,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
45,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
46,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
47,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
48,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
49,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
50,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
51,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
52,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
53,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
54,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
55,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
56,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
57,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
58,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
59,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
60,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
61,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
62,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
63,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
64,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
65,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
66,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
67,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
68,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
69,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
70,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
71,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
72,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
73,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
74,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
75,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
76,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
77,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
78,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
79,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
80,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
81,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
82,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
83,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
84,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
85,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
86,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
87,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
88,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
89,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
90,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
91,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
92,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
93,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
94,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
95,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
96,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
97,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
98,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
99,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
100,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
101,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
102,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
103,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
104,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
105,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
106,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
107,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
108,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
109,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
110,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
111,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
112,2020,101,19,5,2,3,9,12,0,33,.188,.287,.366,.653
113,2021,284,70,17,2,11,38,30,3,67,.246,.318,.437,.755
114,2022,531,125,23,3,27,74,46,0,145,.235,.302,.443,.745
115,2023,344,73,13,0,12,32,27,0,89,.212,.273,.355,.628
