,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
1,2019,596,173,30,4,6,49,55,2,64,.290,.350,.384,.734
2,2020,207,66,13,0,3,18,20,0,25,.319,.376,.425,.801
3,2021,626,164,27,3,2,47,31,1,60,.262,.297,.324,.621
4,2022,216,55,9,1,2,17,7,0,16,.255,.288,.333,.621
5,2023,47,10,1,0,1,8,2,0,6,.213,.245,.298,.543
6,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
7,2019,596,173,30,4,6,49,55,2,64,.290,.350,.384,.734
8,2020,207,66,13,0,3,18,20,0,25,.319,.376,.425,.801
9,2021,626,164,27,3,2,47,31,1,60,.262,.297,.324,.621
10,2022,216,55,9,1,2,17,7,0,16,.255,.288,.333,.621
11,2023,47,10,1,0,1,8,2,0,6,.213,.245,.298,.543
12,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
13,2019,596,173,30,4,6,49,55,2,64,.290,.350,.384,.734
14,2020,207,66,13,0,3,18,20,0,25,.319,.376,.425,.801
15,2021,626,164,27,3,2,47,31,1,60,.262,.297,.324,.621
16,2022,216,55,9,1,2,17,7,0,16,.255,.288,.333,.621
17,2023,47,10,1,0,1,8,2,0,6,.213,.245,.298,.543
18,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
19,2019,596,173,30,4,6,49,55,2,64,.290,.350,.384,.734
20,2020,207,66,13,0,3,18,20,0,25,.319,.376,.425,.801
21,2021,626,164,27,3,2,47,31,1,60,.262,.297,.324,.621
22,2022,216,55,9,1,2,17,7,0,16,.255,.288,.333,.621
23,2023,47,10,1,0,1,8,2,0,6,.213,.245,.298,.543
24,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
25,2019,596,173,30,4,6,49,55,2,64,.290,.350,.384,.734
26,2020,207,66,13,0,3,18,20,0,25,.319,.376,.425,.801
27,2021,626,164,27,3,2,47,31,1,60,.262,.297,.324,.621
28,2022,216,55,9,1,2,17,7,0,16,.255,.288,.333,.621
29,2023,47,10,1,0,1,8,2,0,6,.213,.245,.298,.543
30,2018,284,78,18,2,1,25,15,0,34,.275,.316,.363,.679
