,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
1,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
2,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
3,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
4,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
5,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
6,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
7,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
8,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
9,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
10,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
11,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
12,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
13,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
14,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
15,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
16,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
17,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
18,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
19,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
20,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
21,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
22,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
23,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
24,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
25,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
26,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
27,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
28,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
29,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
30,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
31,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
32,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
33,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
34,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
35,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
36,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
37,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
38,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
39,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
40,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
41,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
42,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
43,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
44,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
45,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
46,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
47,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
48,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
49,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
50,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
51,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
52,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
53,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
54,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
55,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
56,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
57,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
58,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
59,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
60,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
61,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
62,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
63,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
64,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
65,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
66,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
67,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
68,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
69,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
70,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
71,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
72,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
73,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
74,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
75,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
76,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
77,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
78,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
79,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
80,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
81,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
82,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
83,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
84,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
85,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
86,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
87,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
88,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
89,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
90,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
91,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
92,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
93,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
94,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
95,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
96,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
97,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
98,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
99,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
100,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
101,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
102,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
103,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
104,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
105,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
106,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
107,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
108,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
109,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
110,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
111,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
112,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
113,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
114,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
115,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
116,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
117,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
118,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
119,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
120,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
121,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
122,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
123,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
124,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
125,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
126,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
127,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
128,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
129,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
130,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
131,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
132,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
133,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
134,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
135,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
136,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
137,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
138,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
139,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
140,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
141,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
142,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
143,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
144,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
145,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
146,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
147,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
148,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
149,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
150,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
151,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
152,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
153,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
154,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
155,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
156,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
157,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
158,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
159,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
160,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
161,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
162,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
163,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
164,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
165,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
166,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
167,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
168,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
169,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
170,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
171,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
172,2018,560,164,25,5,30,87,48,4,124,.293,.352,.516,.868
173,2019,382,105,29,3,12,57,35,3,87,.275,.343,.461,.804
174,2020,203,61,10,1,5,34,13,0,45,.300,.339,.433,.772
175,2021,487,126,30,8,8,63,46,3,92,.259,.325,.402,.727
176,2022,278,69,19,2,12,41,27,4,74,.248,.316,.460,.776
177,2022,161,41,11,1,0,18,14,1,40,.255,.317,.335,.652
178,2022,439,110,30,3,12,59,41,5,114,.251,.316,.415,.731
179,2023,243,69,11,1,7,37,13,0,42,.284,.319,.424,.743
180,2014,329,94,12,9,8,36,16,0,60,.286,.320,.450,.770
181,2015,462,144,26,10,17,78,44,2,107,.312,.371,.522,.893
182,2016,171,43,9,5,4,15,8,1,42,.251,.295,.433,.728
183,2017,525,154,31,3,14,57,43,1,94,.293,.352,.444,.796
