,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
1,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
2,2022,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
3,2022,16,3,1,0,0,1,1,0,7,.188,.235,.250,.485
4,2023,23,5,0,0,2,4,6,0,7,.217,.379,.478,.857
5,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
6,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
7,2022,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
8,2022,16,3,1,0,0,1,1,0,7,.188,.235,.250,.485
9,2023,23,5,0,0,2,4,6,0,7,.217,.379,.478,.857
10,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
11,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
12,2022,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
13,2022,16,3,1,0,0,1,1,0,7,.188,.235,.250,.485
14,2023,23,5,0,0,2,4,6,0,7,.217,.379,.478,.857
15,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
16,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
17,2022,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
18,2022,16,3,1,0,0,1,1,0,7,.188,.235,.250,.485
19,2023,23,5,0,0,2,4,6,0,7,.217,.379,.478,.857
20,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
21,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
22,2022,3,1,0,0,0,0,0,0,1,.333,.333,.333,.666
23,2022,16,3,1,0,0,1,1,0,7,.188,.235,.250,.485
24,2023,23,5,0,0,2,4,6,0,7,.217,.379,.478,.857
25,2021,69,9,2,0,1,5,10,1,27,.130,.277,.203,.480
26,2022,13,2,1,0,0,1,1,0,6,.154,.214,.231,.445
