,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
1,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
2,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
3,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
4,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
5,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
6,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
7,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
8,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
9,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
10,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
11,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
12,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
13,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
14,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
15,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
16,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
17,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
18,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
19,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
20,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
21,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
22,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
23,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
24,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
25,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
26,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
27,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
28,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
29,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
30,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
31,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
32,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
33,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
34,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
35,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
36,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
37,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
38,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
39,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
40,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
41,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
42,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
43,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
44,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
45,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
46,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
47,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
48,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
49,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
50,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
51,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
52,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
53,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
54,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
55,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
56,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
57,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
58,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
59,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
60,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
61,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
62,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
63,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
64,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
65,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
66,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
67,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
68,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
69,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
70,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
71,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
72,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
73,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
74,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
75,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
76,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
77,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
78,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
79,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
80,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
81,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
82,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
83,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
84,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
85,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
86,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
87,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
88,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
89,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
90,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
91,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
92,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
93,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
94,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
95,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
96,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
97,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
98,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
99,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
100,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
101,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
102,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
103,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
104,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
105,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
106,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
107,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
108,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
109,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
110,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
111,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
112,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
113,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
114,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
115,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
116,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
117,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
118,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
119,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
120,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
121,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
122,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
123,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
124,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
125,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
126,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
127,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
128,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
129,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
130,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
131,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
132,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
133,2016,335,90,17,2,10,32,12,2,91,.269,.295,.421,.716
134,2017,542,157,33,2,27,78,35,1,106,.290,.328,.507,.835
135,2018,559,161,31,2,24,77,30,5,104,.288,.323,.479,.802
136,2019,562,155,28,1,32,109,22,2,86,.276,.300,.500,.800
137,2020,210,54,7,0,13,42,19,2,34,.257,.316,.476,.792
138,2021,283,72,15,1,7,46,17,0,47,.254,.296,.389,.685
139,2021,96,26,4,2,7,16,9,0,14,.271,.330,.573,.903
140,2021,379,98,19,3,14,62,26,0,61,.259,.305,.435,.740
141,2022,250,53,12,1,5,24,17,0,68,.212,.259,.328,.587
142,2023,293,73,15,2,15,44,21,1,78,.249,.298,.468,.766
143,2015,453,121,18,15,13,50,15,3,118,.267,.289,.459,.748
