,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2009,480,128,17,8,6,40,40,0,77,.267,.329,.373,.702
1,2010,588,156,15,3,0,35,64,0,96,.265,.342,.301,.643
2,2011,587,164,27,3,5,60,56,0,74,.279,.347,.361,.708
3,2012,629,180,31,9,3,62,57,0,96,.286,.349,.378,.727
4,2013,620,168,17,4,4,67,52,1,97,.271,.328,.331,.659
5,2014,619,163,35,1,2,41,46,0,96,.263,.314,.333,.647
6,2015,596,154,34,2,7,62,46,1,78,.258,.309,.357,.666
7,2016,506,153,31,7,8,69,47,2,70,.302,.362,.439,.801
8,2017,643,191,44,4,20,88,38,0,101,.297,.337,.471,.808
9,2018,395,101,20,3,6,33,28,0,66,.256,.308,.367,.675
10,2019,600,165,27,4,12,72,34,1,96,.275,.313,.393,.706
11,2020,103,20,5,0,3,7,8,0,15,.194,.252,.330,.582
12,2021,497,121,25,2,3,37,31,2,81,.243,.294,.320,.614
13,2022,354,84,24,0,8,30,30,0,62,.237,.301,.373,.674
14,2022,181,49,8,0,9,28,9,0,30,.271,.309,.464,.773
15,2022,535,133,32,0,17,58,39,0,92,.249,.303,.404,.707
16,2023,223,47,8,1,2,20,21,1,42,.211,.288,.283,.571
17,2009,480,128,17,8,6,40,40,0,77,.267,.329,.373,.702
18,2010,588,156,15,3,0,35,64,0,96,.265,.342,.301,.643
19,2011,587,164,27,3,5,60,56,0,74,.279,.347,.361,.708
20,2012,629,180,31,9,3,62,57,0,96,.286,.349,.378,.727
21,2013,620,168,17,4,4,67,52,1,97,.271,.328,.331,.659
22,2014,619,163,35,1,2,41,46,0,96,.263,.314,.333,.647
23,2015,596,154,34,2,7,62,46,1,78,.258,.309,.357,.666
24,2016,506,153,31,7,8,69,47,2,70,.302,.362,.439,.801
25,2017,643,191,44,4,20,88,38,0,101,.297,.337,.471,.808
26,2018,395,101,20,3,6,33,28,0,66,.256,.308,.367,.675
27,2019,600,165,27,4,12,72,34,1,96,.275,.313,.393,.706
28,2020,103,20,5,0,3,7,8,0,15,.194,.252,.330,.582
29,2021,497,121,25,2,3,37,31,2,81,.243,.294,.320,.614
30,2022,354,84,24,0,8,30,30,0,62,.237,.301,.373,.674
31,2022,181,49,8,0,9,28,9,0,30,.271,.309,.464,.773
32,2022,535,133,32,0,17,58,39,0,92,.249,.303,.404,.707
33,2023,223,47,8,1,2,20,21,1,42,.211,.288,.283,.571
34,2009,480,128,17,8,6,40,40,0,77,.267,.329,.373,.702
35,2010,588,156,15,3,0,35,64,0,96,.265,.342,.301,.643
36,2011,587,164,27,3,5,60,56,0,74,.279,.347,.361,.708
37,2012,629,180,31,9,3,62,57,0,96,.286,.349,.378,.727
38,2013,620,168,17,4,4,67,52,1,97,.271,.328,.331,.659
39,2014,619,163,35,1,2,41,46,0,96,.263,.314,.333,.647
40,2015,596,154,34,2,7,62,46,1,78,.258,.309,.357,.666
41,2016,506,153,31,7,8,69,47,2,70,.302,.362,.439,.801
42,2017,643,191,44,4,20,88,38,0,101,.297,.337,.471,.808
43,2018,395,101,20,3,6,33,28,0,66,.256,.308,.367,.675
44,2019,600,165,27,4,12,72,34,1,96,.275,.313,.393,.706
45,2020,103,20,5,0,3,7,8,0,15,.194,.252,.330,.582
46,2021,497,121,25,2,3,37,31,2,81,.243,.294,.320,.614
47,2022,354,84,24,0,8,30,30,0,62,.237,.301,.373,.674
48,2022,181,49,8,0,9,28,9,0,30,.271,.309,.464,.773
49,2022,535,133,32,0,17,58,39,0,92,.249,.303,.404,.707
50,2023,223,47,8,1,2,20,21,1,42,.211,.288,.283,.571
51,2009,480,128,17,8,6,40,40,0,77,.267,.329,.373,.702
52,2010,588,156,15,3,0,35,64,0,96,.265,.342,.301,.643
53,2011,587,164,27,3,5,60,56,0,74,.279,.347,.361,.708
54,2012,629,180,31,9,3,62,57,0,96,.286,.349,.378,.727
55,2013,620,168,17,4,4,67,52,1,97,.271,.328,.331,.659
56,2014,619,163,35,1,2,41,46,0,96,.263,.314,.333,.647
57,2015,596,154,34,2,7,62,46,1,78,.258,.309,.357,.666
58,2016,506,153,31,7,8,69,47,2,70,.302,.362,.439,.801
59,2017,643,191,44,4,20,88,38,0,101,.297,.337,.471,.808
60,2018,395,101,20,3,6,33,28,0,66,.256,.308,.367,.675
61,2019,600,165,27,4,12,72,34,1,96,.275,.313,.393,.706
62,2020,103,20,5,0,3,7,8,0,15,.194,.252,.330,.582
63,2021,497,121,25,2,3,37,31,2,81,.243,.294,.320,.614
64,2022,354,84,24,0,8,30,30,0,62,.237,.301,.373,.674
65,2022,181,49,8,0,9,28,9,0,30,.271,.309,.464,.773
66,2022,535,133,32,0,17,58,39,0,92,.249,.303,.404,.707
67,2023,223,47,8,1,2,20,21,1,42,.211,.288,.283,.571
68,2009,480,128,17,8,6,40,40,0,77,.267,.329,.373,.702
