,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
1,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
2,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
3,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
4,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
5,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
6,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
7,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
8,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
9,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
10,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
11,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
12,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
13,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
14,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
15,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
16,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
17,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
18,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
19,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
20,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
21,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
22,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
23,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
24,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
25,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
26,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
27,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
28,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
29,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
30,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
31,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
32,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
33,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
34,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
35,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
36,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
37,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
38,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
39,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
40,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
41,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
42,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
43,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
44,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
45,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
46,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
47,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
48,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
49,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
50,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
51,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
52,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
53,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
54,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
55,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
56,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
57,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
58,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
59,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
60,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
61,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
62,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
63,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
64,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
65,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
66,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
67,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
68,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
69,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
70,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
71,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
72,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
73,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
74,2014,121,30,6,3,3,14,12,0,21,.248,.321,.421,.742
75,2015,202,62,12,2,7,22,11,0,46,.307,.346,.490,.836
76,2016,216,41,8,0,7,18,28,1,64,.190,.283,.324,.607
77,2017,297,64,24,2,11,37,41,2,80,.215,.308,.421,.729
78,2018,402,103,17,3,21,52,50,5,78,.256,.336,.470,.806
79,2019,414,98,19,1,17,64,36,3,97,.237,.304,.411,.715
80,2020,139,32,8,1,5,20,6,0,31,.230,.270,.410,.680
81,2021,508,127,35,3,20,60,61,0,110,.250,.337,.449,.786
82,2022,361,80,24,0,6,45,34,0,71,.222,.291,.338,.629
83,2023,297,66,11,0,6,31,22,0,68,.222,.279,.320,.599
84,2014,81,23,4,2,1,8,8,0,11,.284,.348,.420,.768
85,2014,40,7,2,1,2,6,4,0,10,.175,.267,.425,.692
