,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
1,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
2,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
3,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
4,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
5,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
6,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
7,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
8,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
9,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
10,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
11,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
12,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
13,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
14,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
15,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
16,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
17,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
18,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
19,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
20,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
21,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
22,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
23,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
24,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
25,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
26,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
27,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
28,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
29,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
30,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
31,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
32,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
33,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
34,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
35,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
36,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
37,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
38,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
39,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
40,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
41,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
42,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
43,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
44,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
45,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
46,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
47,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
48,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
49,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
50,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
51,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
52,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
53,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
54,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
55,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
56,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
57,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
58,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
59,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
60,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
61,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
62,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
63,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
64,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
65,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
66,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
67,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
68,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
69,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
70,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
71,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
72,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
73,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
74,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
75,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
76,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
77,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
78,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
79,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
80,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
81,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
82,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
83,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
84,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
85,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
86,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
87,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
88,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
89,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
90,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
91,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
92,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
93,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
94,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
95,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
96,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
97,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
98,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
99,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
100,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
101,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
102,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
103,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
104,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
105,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
106,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
107,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
108,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
109,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
110,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
111,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
112,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
113,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
114,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
115,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
116,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
117,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
118,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
119,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
120,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
121,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
122,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
123,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
124,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
125,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
126,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
127,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
128,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
129,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
130,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
131,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
132,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
133,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
134,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
135,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
136,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
137,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
138,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
139,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
140,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
141,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
142,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
143,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
144,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
145,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
146,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
147,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
148,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
149,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
150,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
151,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
152,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
153,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
154,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
155,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
156,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
157,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
158,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
159,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
160,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
161,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
162,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
163,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
164,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
165,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
166,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
167,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
168,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
169,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
170,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
171,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
172,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
173,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
174,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
175,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
176,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
177,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
178,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
179,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
180,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
181,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
182,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
183,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
184,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
185,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
186,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
187,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
188,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
189,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
190,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
191,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
192,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
193,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
194,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
195,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
196,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
197,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
198,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
199,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
200,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
201,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
202,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
203,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
204,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
205,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
206,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
207,2022,175,41,8,2,5,19,16,0,53,.234,.301,.389,.690
208,2022,438,97,17,2,14,47,30,0,157,.221,.273,.365,.638
209,2023,59,11,0,0,2,7,4,0,24,.186,.231,.288,.519
210,2018,261,73,9,0,16,31,24,0,80,.280,.340,.498,.838
211,2019,321,82,9,0,27,46,29,1,93,.255,.314,.536,.850
212,2019,173,41,10,0,10,35,18,0,63,.237,.304,.468,.772
213,2019,494,123,19,0,37,81,47,1,156,.249,.310,.512,.822
214,2020,211,58,10,0,9,34,24,0,69,.275,.344,.450,.794
215,2021,418,106,18,2,30,85,43,3,149,.254,.324,.522,.846
216,2022,263,56,9,0,9,28,14,0,104,.213,.254,.350,.604
