,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
1,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
2,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
3,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
4,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
5,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
6,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
7,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
8,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
9,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
10,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
11,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
12,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
13,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
14,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
15,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
16,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
17,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
18,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
19,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
20,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
21,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
22,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
23,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
24,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
25,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
26,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
27,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
28,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
29,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
30,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
31,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
32,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
33,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
34,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
35,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
36,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
37,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
38,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
39,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
40,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
41,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
42,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
43,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
44,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
45,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
46,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
47,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
48,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
49,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
50,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
51,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
52,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
53,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
54,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
55,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
56,2022,69,22,1,0,1,7,4,0,8,.319,.356,.377,.733
57,2023,222,60,11,0,3,28,16,0,54,.270,.316,.360,.676
