,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
1,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
2,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
3,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
4,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
5,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
6,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
7,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
8,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
9,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
10,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
11,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
12,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
13,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
14,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
15,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
16,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
17,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
18,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
19,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
20,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
21,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
22,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
23,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
24,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
25,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
26,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
27,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
28,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
29,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
30,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
31,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
32,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
33,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
34,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
35,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
36,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
37,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
38,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
39,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
40,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
41,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
42,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
43,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
44,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
45,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
46,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
47,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
48,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
49,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
50,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
51,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
52,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
53,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
54,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
55,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
56,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
57,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
58,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
59,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
60,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
61,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
62,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
63,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
64,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
65,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
66,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
67,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
68,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
69,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
70,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
71,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
72,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
73,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
74,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
75,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
76,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
77,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
78,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
79,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
80,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
81,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
82,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
83,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
84,2021,160,40,8,0,11,34,16,0,40,.250,.324,.506,.830
85,2022,377,91,19,0,15,53,27,0,86,.241,.295,.411,.706
86,2023,194,42,4,0,8,26,20,2,40,.216,.290,.361,.651
