,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
1,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
2,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
3,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
4,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
5,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
6,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
7,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
8,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
9,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
10,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
11,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
12,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
13,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
14,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
15,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
16,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
17,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
18,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
19,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
20,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
21,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
22,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
23,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
24,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
25,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
26,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
27,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
28,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
29,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
30,2021,267,54,12,2,8,34,22,1,71,.202,.270,.352,.622
31,2022,517,130,29,3,11,59,51,0,100,.251,.325,.383,.708
32,2023,315,84,14,0,12,34,44,0,79,.267,.359,.425,.784
