,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
1,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
2,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
3,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
4,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
5,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
6,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
7,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
8,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
9,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
10,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
11,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
12,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
13,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
14,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
15,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
16,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
17,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
18,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
19,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
20,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
21,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
22,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
23,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
24,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
25,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
26,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
27,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
28,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
29,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
30,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
31,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
32,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
33,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
34,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
35,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
36,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
37,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
38,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
39,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
40,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
41,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
42,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
43,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
44,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
45,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
46,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
47,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
48,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
49,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
50,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
51,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
52,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
53,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
54,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
55,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
56,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
57,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
58,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
59,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
60,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
61,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
62,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
63,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
64,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
65,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
66,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
67,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
68,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
69,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
70,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
71,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
72,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
73,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
74,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
75,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
76,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
77,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
78,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
79,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
80,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
81,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
82,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
83,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
84,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
85,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
86,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
87,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
88,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
89,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
90,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
91,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
92,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
93,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
94,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
95,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
96,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
97,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
98,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
99,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
100,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
101,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
102,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
103,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
104,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
105,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
106,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
107,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
108,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
109,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
110,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
111,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
112,2020,100,22,4,0,1,6,8,0,24,.220,.278,.290,.568
113,2021,72,15,3,1,1,5,10,1,11,.208,.306,.319,.625
114,2022,331,68,16,0,20,45,44,0,67,.205,.304,.435,.739
115,2023,286,74,15,0,18,59,35,0,59,.259,.362,.500,.862
