,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
1,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
2,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
3,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
4,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
5,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
6,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
7,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
8,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
9,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
10,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
11,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
12,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
13,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
14,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
15,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
16,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
17,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
18,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
19,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
20,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
21,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
22,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
23,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
24,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
25,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
26,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
27,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
28,2023,14,3,0,0,0,0,1,0,4,.214,.267,.214,.481
