,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2013,109,20,2,1,1,5,6,0,27,.183,.231,.248,.479
1,2014,48,8,0,0,0,0,3,1,19,.167,.216,.167,.383
2,2014,173,47,8,0,3,19,5,2,48,.272,.299,.370,.669
3,2014,221,55,8,0,3,19,8,3,67,.249,.281,.326,.607
4,2015,339,80,15,4,9,36,18,0,105,.236,.281,.383,.664
5,2016,287,60,18,1,5,21,16,0,83,.209,.257,.331,.588
6,2017,230,56,10,0,16,35,20,1,90,.243,.319,.496,.815
7,2018,213,45,8,1,10,28,15,1,84,.211,.275,.399,.674
8,2019,292,68,16,3,10,34,17,0,95,.233,.289,.411,.700
9,2020,33,11,3,0,2,5,1,0,10,.333,.353,.606,.959
10,2021,128,29,6,3,5,22,9,0,43,.227,.294,.438,.732
11,2021,48,9,1,0,0,2,2,0,22,.188,.264,.208,.472
12,2021,176,38,7,3,5,24,11,0,65,.216,.286,.375,.661
13,2022,77,18,6,0,2,6,4,1,24,.234,.272,.390,.662
14,2023,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
15,2023,69,16,3,2,2,10,3,0,20,.232,.270,.420,.690
16,2023,5,2,0,0,0,0,0,0,0,.400,.500,.400,.900
17,2023,76,18,3,2,2,10,3,0,21,.237,.280,.408,.688
18,2013,109,20,2,1,1,5,6,0,27,.183,.231,.248,.479
19,2014,48,8,0,0,0,0,3,1,19,.167,.216,.167,.383
20,2014,173,47,8,0,3,19,5,2,48,.272,.299,.370,.669
21,2014,221,55,8,0,3,19,8,3,67,.249,.281,.326,.607
22,2015,339,80,15,4,9,36,18,0,105,.236,.281,.383,.664
23,2016,287,60,18,1,5,21,16,0,83,.209,.257,.331,.588
24,2017,230,56,10,0,16,35,20,1,90,.243,.319,.496,.815
25,2018,213,45,8,1,10,28,15,1,84,.211,.275,.399,.674
26,2019,292,68,16,3,10,34,17,0,95,.233,.289,.411,.700
27,2020,33,11,3,0,2,5,1,0,10,.333,.353,.606,.959
28,2021,128,29,6,3,5,22,9,0,43,.227,.294,.438,.732
29,2021,48,9,1,0,0,2,2,0,22,.188,.264,.208,.472
30,2021,176,38,7,3,5,24,11,0,65,.216,.286,.375,.661
31,2022,77,18,6,0,2,6,4,1,24,.234,.272,.390,.662
32,2023,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
33,2023,69,16,3,2,2,10,3,0,20,.232,.270,.420,.690
34,2023,5,2,0,0,0,0,0,0,0,.400,.500,.400,.900
35,2023,76,18,3,2,2,10,3,0,21,.237,.280,.408,.688
36,2013,109,20,2,1,1,5,6,0,27,.183,.231,.248,.479
37,2014,48,8,0,0,0,0,3,1,19,.167,.216,.167,.383
38,2014,173,47,8,0,3,19,5,2,48,.272,.299,.370,.669
39,2014,221,55,8,0,3,19,8,3,67,.249,.281,.326,.607
40,2015,339,80,15,4,9,36,18,0,105,.236,.281,.383,.664
41,2016,287,60,18,1,5,21,16,0,83,.209,.257,.331,.588
42,2017,230,56,10,0,16,35,20,1,90,.243,.319,.496,.815
43,2018,213,45,8,1,10,28,15,1,84,.211,.275,.399,.674
44,2019,292,68,16,3,10,34,17,0,95,.233,.289,.411,.700
45,2020,33,11,3,0,2,5,1,0,10,.333,.353,.606,.959
46,2021,128,29,6,3,5,22,9,0,43,.227,.294,.438,.732
47,2021,48,9,1,0,0,2,2,0,22,.188,.264,.208,.472
48,2021,176,38,7,3,5,24,11,0,65,.216,.286,.375,.661
49,2022,77,18,6,0,2,6,4,1,24,.234,.272,.390,.662
50,2023,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
51,2023,69,16,3,2,2,10,3,0,20,.232,.270,.420,.690
52,2023,5,2,0,0,0,0,0,0,0,.400,.500,.400,.900
53,2023,76,18,3,2,2,10,3,0,21,.237,.280,.408,.688
54,2013,109,20,2,1,1,5,6,0,27,.183,.231,.248,.479
55,2014,48,8,0,0,0,0,3,1,19,.167,.216,.167,.383
56,2014,173,47,8,0,3,19,5,2,48,.272,.299,.370,.669
57,2014,221,55,8,0,3,19,8,3,67,.249,.281,.326,.607
58,2015,339,80,15,4,9,36,18,0,105,.236,.281,.383,.664
59,2016,287,60,18,1,5,21,16,0,83,.209,.257,.331,.588
60,2017,230,56,10,0,16,35,20,1,90,.243,.319,.496,.815
61,2018,213,45,8,1,10,28,15,1,84,.211,.275,.399,.674
62,2019,292,68,16,3,10,34,17,0,95,.233,.289,.411,.700
63,2020,33,11,3,0,2,5,1,0,10,.333,.353,.606,.959
64,2021,128,29,6,3,5,22,9,0,43,.227,.294,.438,.732
65,2021,48,9,1,0,0,2,2,0,22,.188,.264,.208,.472
66,2021,176,38,7,3,5,24,11,0,65,.216,.286,.375,.661
67,2022,77,18,6,0,2,6,4,1,24,.234,.272,.390,.662
68,2023,2,0,0,0,0,0,0,0,1,.000,.000,.000,.000
69,2023,69,16,3,2,2,10,3,0,20,.232,.270,.420,.690
70,2023,5,2,0,0,0,0,0,0,0,.400,.500,.400,.900
71,2023,76,18,3,2,2,10,3,0,21,.237,.280,.408,.688
72,2013,109,20,2,1,1,5,6,0,27,.183,.231,.248,.479
