,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
1,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
2,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
3,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
4,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
5,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
6,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
7,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
8,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
9,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
10,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
11,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
12,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
13,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
14,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
15,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
16,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
17,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
18,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
19,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
20,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
21,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
22,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
23,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
24,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
25,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
26,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
27,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
28,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
29,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
30,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
31,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
32,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
33,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
34,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
35,2023,185,40,8,0,11,28,22,0,71,.216,.301,.438,.739
36,2019,112,14,3,0,4,8,13,0,51,.125,.222,.259,.481
37,2021,113,27,5,3,6,17,11,0,46,.239,.306,.496,.802
