,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2010,520,144,29,5,18,72,91,2,128,.277,.393,.456,.849
1,2011,396,90,18,2,14,42,51,4,93,.227,.319,.389,.708
2,2012,587,158,30,6,27,82,58,1,152,.269,.335,.479,.814
3,2013,382,97,22,1,14,38,48,1,73,.254,.349,.427,.776
4,2014,573,155,26,3,11,58,67,3,98,.271,.351,.384,.735
5,2015,547,160,33,4,13,60,56,4,90,.293,.359,.439,.798
6,2016,530,122,27,1,7,49,54,0,93,.230,.306,.325,.631
7,2017,432,112,15,4,11,59,41,1,67,.259,.326,.389,.715
8,2018,440,119,23,4,8,57,42,1,60,.270,.335,.395,.730
9,2019,513,129,20,4,21,62,68,5,110,.251,.343,.429,.772
10,2020,147,39,6,2,6,22,30,1,37,.265,.392,.456,.848
11,2021,323,69,15,2,8,30,27,1,68,.214,.280,.347,.627
12,2022,137,28,5,1,1,10,11,0,32,.204,.278,.277,.555
13,2023,191,47,13,0,9,25,28,0,45,.246,.347,.455,.802
14,2010,520,144,29,5,18,72,91,2,128,.277,.393,.456,.849
15,2011,396,90,18,2,14,42,51,4,93,.227,.319,.389,.708
16,2012,587,158,30,6,27,82,58,1,152,.269,.335,.479,.814
17,2013,382,97,22,1,14,38,48,1,73,.254,.349,.427,.776
18,2014,573,155,26,3,11,58,67,3,98,.271,.351,.384,.735
19,2015,547,160,33,4,13,60,56,4,90,.293,.359,.439,.798
20,2016,530,122,27,1,7,49,54,0,93,.230,.306,.325,.631
21,2017,432,112,15,4,11,59,41,1,67,.259,.326,.389,.715
22,2018,440,119,23,4,8,57,42,1,60,.270,.335,.395,.730
23,2019,513,129,20,4,21,62,68,5,110,.251,.343,.429,.772
24,2020,147,39,6,2,6,22,30,1,37,.265,.392,.456,.848
25,2021,323,69,15,2,8,30,27,1,68,.214,.280,.347,.627
26,2022,137,28,5,1,1,10,11,0,32,.204,.278,.277,.555
27,2023,191,47,13,0,9,25,28,0,45,.246,.347,.455,.802
