,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
1,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
2,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
3,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
4,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
5,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
6,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
7,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
8,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
9,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
10,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
11,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
12,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
13,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
14,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
15,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
16,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
17,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
18,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
19,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
20,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
21,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
22,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
23,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
24,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
25,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
26,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
27,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
28,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
29,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
30,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
31,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
32,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
33,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
34,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
35,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
36,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
37,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
38,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
39,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
40,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
41,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
42,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
43,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
44,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
45,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
46,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
47,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
48,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
49,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
50,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
51,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
52,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
53,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
54,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
55,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
56,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
57,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
58,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
59,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
60,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
61,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
62,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
63,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
64,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
65,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
66,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
67,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
68,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
69,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
70,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
71,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
72,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
73,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
74,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
75,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
76,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
77,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
78,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
79,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
80,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
81,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
82,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
83,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
84,2021,73,13,4,0,3,9,7,1,21,.178,.256,.356,.612
85,2022,98,26,6,1,4,12,10,1,29,.265,.342,.469,.811
86,2023,62,10,2,1,3,10,3,0,25,.161,.200,.371,.571
