,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
1,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
2,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
3,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
4,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
5,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
6,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
7,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
8,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
9,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
10,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
11,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
12,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
13,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
14,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
15,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
16,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
17,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
18,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
19,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
20,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
21,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
22,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
23,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
24,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
25,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
26,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
27,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
28,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
29,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
30,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
31,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
32,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
33,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
34,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
35,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
36,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
37,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
38,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
39,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
40,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
41,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
42,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
43,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
44,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
45,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
46,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
47,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
48,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
49,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
50,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
51,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
52,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
53,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
54,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
55,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
56,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
57,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
58,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
59,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
60,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
61,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
62,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
63,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
64,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
65,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
66,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
67,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
68,2020,183,57,14,0,4,23,20,2,24,.311,.383,.454,.837
69,2021,386,97,19,1,7,35,29,0,58,.251,.319,.360,.679
70,2022,533,174,39,1,9,62,40,1,61,.326,.382,.454,.836
71,2023,355,88,15,1,3,30,28,0,47,.248,.322,.321,.643
72,2018,225,74,11,6,3,19,14,1,24,.329,.381,.471,.852
73,2019,510,162,38,1,23,75,35,2,75,.318,.384,.531,.915
