,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
1,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
2,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
3,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
4,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
5,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
6,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
7,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
8,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
9,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
10,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
11,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
12,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
13,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
14,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
15,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
16,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
17,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
18,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
19,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
20,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
21,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
22,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
23,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
24,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
25,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
26,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
27,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
28,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
29,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
30,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
31,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
32,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
33,2021,265,52,13,0,10,32,15,0,58,.196,.239,.358,.597
34,2022,406,92,20,1,16,48,41,0,87,.227,.298,.399,.697
35,2023,319,90,23,0,14,69,26,2,60,.282,.336,.486,.822
36,2020,38,8,0,0,0,5,3,0,3,.211,.268,.211,.479
