,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
1,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
2,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
3,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
4,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
5,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
6,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
7,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
8,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
9,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
10,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
11,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
12,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
13,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
14,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
15,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
16,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
17,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
18,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
19,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
20,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
21,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
22,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
23,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
24,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
25,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
26,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
27,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
28,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
29,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
30,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
31,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
32,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
33,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
34,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
35,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
36,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
37,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
38,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
39,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
40,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
41,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
42,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
43,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
44,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
45,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
46,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
47,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
48,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
49,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
50,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
51,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
52,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
53,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
54,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
55,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
56,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
57,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
58,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
59,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
60,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
61,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
62,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
63,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
64,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
65,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
66,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
67,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
68,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
69,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
70,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
71,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
72,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
73,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
74,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
75,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
76,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
77,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
78,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
79,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
80,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
81,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
82,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
83,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
84,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
85,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
86,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
87,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
88,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
89,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
90,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
91,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
92,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
93,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
94,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
95,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
96,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
97,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
98,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
99,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
100,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
101,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
102,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
103,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
104,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
105,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
106,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
107,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
108,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
109,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
110,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
111,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
112,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
113,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
114,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
115,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
116,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
117,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
118,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
119,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
120,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
121,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
122,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
123,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
124,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
125,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
126,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
127,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
128,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
129,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
130,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
131,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
132,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
133,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
134,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
135,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
136,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
137,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
138,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
139,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
140,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
141,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
142,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
143,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
144,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
145,2021,295,72,15,1,4,30,11,0,99,.244,.283,.342,.625
146,2022,256,63,14,0,7,40,11,0,98,.246,.285,.383,.668
147,2023,31,5,4,0,1,4,0,0,12,.161,.188,.387,.575
148,2023,16,2,0,0,0,0,2,0,3,.125,.222,.125,.347
149,2023,47,7,4,0,1,4,2,0,15,.149,.200,.298,.498
150,2016,16,2,0,0,0,0,1,1,8,.125,.176,.125,.301
151,2017,107,34,6,0,5,14,3,1,33,.318,.360,.514,.874
152,2018,344,90,16,2,10,37,18,6,138,.262,.324,.407,.731
153,2019,431,113,14,1,18,57,22,1,154,.262,.312,.425,.737
154,2020,93,21,2,0,3,16,4,1,36,.226,.280,.344,.624
