,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
1,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
2,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
3,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
4,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
5,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
6,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
7,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
8,2019,500,149,27,3,31,74,41,0,82,.298,.353,.550,.903
9,2020,192,42,9,0,5,18,17,0,39,.219,.286,.344,.630
10,2021,601,167,32,1,31,83,66,3,91,.278,.350,.489,.839
11,2022,527,158,39,0,28,57,66,2,87,.300,.387,.533,.920
12,2023,121,32,8,0,6,18,20,0,25,.264,.371,.479,.850
13,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
14,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
15,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
16,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
17,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
18,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
19,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
20,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
21,2019,500,149,27,3,31,74,41,0,82,.298,.353,.550,.903
22,2020,192,42,9,0,5,18,17,0,39,.219,.286,.344,.630
23,2021,601,167,32,1,31,83,66,3,91,.278,.350,.489,.839
24,2022,527,158,39,0,28,57,66,2,87,.300,.387,.533,.920
25,2023,121,32,8,0,6,18,20,0,25,.264,.371,.479,.850
26,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
27,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
28,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
29,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
30,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
31,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
32,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
33,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
34,2019,500,149,27,3,31,74,41,0,82,.298,.353,.550,.903
35,2020,192,42,9,0,5,18,17,0,39,.219,.286,.344,.630
36,2021,601,167,32,1,31,83,66,3,91,.278,.350,.489,.839
37,2022,527,158,39,0,28,57,66,2,87,.300,.387,.533,.920
38,2023,121,32,8,0,6,18,20,0,25,.264,.371,.479,.850
39,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
40,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
41,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
42,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
43,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
44,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
45,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
46,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
47,2019,500,149,27,3,31,74,41,0,82,.298,.353,.550,.903
48,2020,192,42,9,0,5,18,17,0,39,.219,.286,.344,.630
49,2021,601,167,32,1,31,83,66,3,91,.278,.350,.489,.839
50,2022,527,158,39,0,28,57,66,2,87,.300,.387,.533,.920
51,2023,121,32,8,0,6,18,20,0,25,.264,.371,.479,.850
52,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
53,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
54,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
55,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
56,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
57,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
58,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
59,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
60,2019,500,149,27,3,31,74,41,0,82,.298,.353,.550,.903
61,2020,192,42,9,0,5,18,17,0,39,.219,.286,.344,.630
62,2021,601,167,32,1,31,83,66,3,91,.278,.350,.489,.839
63,2022,527,158,39,0,28,57,66,2,87,.300,.387,.533,.920
64,2023,121,32,8,0,6,18,20,0,25,.264,.371,.479,.850
65,2011,221,61,10,1,2,12,5,0,29,.276,.297,.357,.654
66,2012,576,167,34,4,7,37,40,0,74,.290,.340,.399,.739
67,2013,626,177,31,2,5,52,32,5,85,.283,.316,.363,.679
68,2014,660,225,47,3,7,59,36,7,53,.341,.377,.453,.830
69,2015,638,200,40,4,15,66,33,8,67,.313,.353,.459,.812
70,2016,640,216,42,5,24,96,60,11,70,.338,.396,.531,.927
71,2017,590,204,39,4,24,81,58,3,84,.346,.410,.547,.957
72,2018,534,169,29,2,13,61,55,4,79,.316,.386,.451,.837
