,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,128,35,8,0,3,19,21,0,19,.273,.368,.406,.774
1,2017,549,140,26,6,26,90,66,4,117,.255,.334,.466,.800
2,2018,501,131,31,4,12,62,77,2,104,.261,.357,.411,.768
3,2019,527,146,37,3,37,116,74,13,118,.277,.367,.569,.936
4,2020,195,44,3,0,8,22,22,4,59,.226,.305,.364,.669
5,2021,498,130,24,1,27,88,65,2,101,.261,.347,.476,.823
6,2022,375,113,24,3,14,57,49,4,61,.301,.384,.493,.877
7,2022,177,34,5,0,3,14,32,0,41,.192,.316,.271,.587
8,2022,552,147,29,3,17,71,81,4,102,.266,.362,.422,.784
9,2023,322,77,18,0,11,47,42,1,76,.239,.327,.398,.725
10,2016,128,35,8,0,3,19,21,0,19,.273,.368,.406,.774
11,2017,549,140,26,6,26,90,66,4,117,.255,.334,.466,.800
12,2018,501,131,31,4,12,62,77,2,104,.261,.357,.411,.768
13,2019,527,146,37,3,37,116,74,13,118,.277,.367,.569,.936
14,2020,195,44,3,0,8,22,22,4,59,.226,.305,.364,.669
15,2021,498,130,24,1,27,88,65,2,101,.261,.347,.476,.823
16,2022,375,113,24,3,14,57,49,4,61,.301,.384,.493,.877
17,2022,177,34,5,0,3,14,32,0,41,.192,.316,.271,.587
18,2022,552,147,29,3,17,71,81,4,102,.266,.362,.422,.784
19,2023,322,77,18,0,11,47,42,1,76,.239,.327,.398,.725
20,2016,128,35,8,0,3,19,21,0,19,.273,.368,.406,.774
21,2017,549,140,26,6,26,90,66,4,117,.255,.334,.466,.800
22,2018,501,131,31,4,12,62,77,2,104,.261,.357,.411,.768
23,2019,527,146,37,3,37,116,74,13,118,.277,.367,.569,.936
24,2020,195,44,3,0,8,22,22,4,59,.226,.305,.364,.669
25,2021,498,130,24,1,27,88,65,2,101,.261,.347,.476,.823
26,2022,375,113,24,3,14,57,49,4,61,.301,.384,.493,.877
27,2022,177,34,5,0,3,14,32,0,41,.192,.316,.271,.587
28,2022,552,147,29,3,17,71,81,4,102,.266,.362,.422,.784
29,2023,322,77,18,0,11,47,42,1,76,.239,.327,.398,.725
30,2016,128,35,8,0,3,19,21,0,19,.273,.368,.406,.774
31,2017,549,140,26,6,26,90,66,4,117,.255,.334,.466,.800
32,2018,501,131,31,4,12,62,77,2,104,.261,.357,.411,.768
