,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
1,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
2,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
3,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
4,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
5,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
6,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
7,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
8,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
9,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
10,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
11,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
12,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
13,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
14,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
15,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
16,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
17,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
18,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
19,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
20,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
21,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
22,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
23,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
24,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
25,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
26,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
27,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
28,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
29,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
30,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
31,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
32,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
33,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
34,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
35,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
36,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
37,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
38,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
39,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
40,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
41,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
42,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
43,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
44,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
45,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
46,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
47,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
48,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
49,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
50,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
51,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
52,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
53,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
54,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
55,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
56,2022,511,145,25,3,28,75,40,4,145,.284,.345,.509,.854
57,2023,399,97,18,1,14,51,33,1,114,.243,.311,.398,.709
