,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
1,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
2,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
3,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
4,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
5,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
6,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
7,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
8,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
9,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
10,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
11,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
12,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
13,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
14,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
15,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
16,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
17,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
18,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
19,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
20,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
21,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
22,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
23,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
24,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
25,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
26,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
27,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
28,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
29,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
30,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
31,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
32,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
33,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
34,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
35,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
36,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
37,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
38,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
39,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
40,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
41,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
42,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
43,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
44,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
45,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
46,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
47,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
48,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
49,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
50,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
51,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
52,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
53,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
54,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
55,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
56,2022,35,4,1,0,1,1,1,0,12,.114,.139,.229,.368
57,2023,68,9,3,0,1,3,1,0,16,.132,.145,.221,.366
