,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
1,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
2,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
3,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
4,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
5,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
6,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
7,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
8,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
9,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
10,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
11,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
12,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
13,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
14,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
15,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
16,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
17,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
18,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
19,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
20,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
21,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
22,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
23,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
24,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
25,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
26,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
27,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
28,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
29,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
30,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
31,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
32,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
33,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
34,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
35,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
36,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
37,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
38,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
39,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
40,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
41,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
42,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
43,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
44,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
45,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
46,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
47,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
48,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
49,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
50,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
51,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
52,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
53,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
54,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
55,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
56,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
57,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
58,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
59,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
60,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
61,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
62,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
63,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
64,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
65,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
66,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
67,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
68,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
69,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
70,2019,326,109,20,1,4,28,36,1,29,.334,.399,.439,.838
71,2020,112,36,9,0,0,13,8,0,11,.321,.364,.402,.766
72,2021,428,126,17,6,2,42,43,2,48,.294,.357,.376,.733
73,2022,547,173,31,1,8,49,50,2,43,.316,.375,.420,.795
74,2023,367,139,22,2,3,49,29,8,22,.379,.427,.474,.901
