,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
1,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
2,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
3,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
4,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
5,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
6,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
7,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
8,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
9,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
10,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
11,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
12,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
13,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
14,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
15,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
16,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
17,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
18,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
19,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
20,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
21,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
22,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
23,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
24,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
25,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
26,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
27,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
28,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
29,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
30,2022,360,99,23,2,7,45,11,1,84,.275,.295,.408,.703
31,2023,346,93,12,4,5,41,20,0,44,.269,.303,.370,.673
32,2020,134,37,6,0,2,16,5,0,29,.276,.302,.366,.668
33,2021,236,57,18,2,6,22,11,1,43,.242,.275,.411,.686
