,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
1,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
2,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
3,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
4,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
5,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
6,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
7,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
8,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
9,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
10,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
11,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
12,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
13,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
14,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
15,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
16,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
17,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
18,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
19,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
20,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
21,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
22,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
23,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
24,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
25,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
26,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
27,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
28,2023,340,107,22,3,11,51,28,0,43,.315,.376,.494,.870
