,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
1,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
2,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
3,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
4,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
5,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
6,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
7,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
8,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
9,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
10,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
11,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
12,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
13,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
14,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
15,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
16,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
17,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
18,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
19,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
20,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
21,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
22,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
23,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
24,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
25,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
26,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
27,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
28,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
29,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
30,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
31,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
32,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
33,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
34,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
35,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
36,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
37,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
38,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
39,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
40,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
41,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
42,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
43,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
44,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
45,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
46,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
47,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
48,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
49,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
50,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
51,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
52,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
53,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
54,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
55,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
56,2022,111,24,8,2,2,12,9,0,44,.216,.275,.378,.653
57,2023,41,6,1,0,1,1,4,0,16,.146,.222,.244,.466
