,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,149,27,3,0,1,9,10,1,28,.181,.242,.221,.463
1,2015,142,40,7,1,1,17,11,1,16,.282,.329,.366,.695
2,2016,194,48,12,0,1,14,11,2,27,.247,.288,.325,.613
3,2017,272,79,16,2,1,26,27,5,32,.290,.361,.375,.736
4,2018,488,123,13,0,11,53,24,2,69,.252,.297,.346,.643
5,2019,483,137,29,1,5,46,32,2,62,.284,.331,.379,.710
6,2020,125,38,10,1,4,20,16,2,18,.304,.392,.496,.888
7,2021,495,131,30,3,9,48,37,0,74,.265,.322,.392,.714
8,2022,471,111,19,2,6,36,26,1,61,.236,.283,.323,.606
9,2023,225,50,11,0,0,11,18,0,30,.222,.282,.271,.553
10,2014,149,27,3,0,1,9,10,1,28,.181,.242,.221,.463
11,2015,142,40,7,1,1,17,11,1,16,.282,.329,.366,.695
12,2016,194,48,12,0,1,14,11,2,27,.247,.288,.325,.613
13,2017,272,79,16,2,1,26,27,5,32,.290,.361,.375,.736
14,2018,488,123,13,0,11,53,24,2,69,.252,.297,.346,.643
15,2019,483,137,29,1,5,46,32,2,62,.284,.331,.379,.710
16,2020,125,38,10,1,4,20,16,2,18,.304,.392,.496,.888
17,2021,495,131,30,3,9,48,37,0,74,.265,.322,.392,.714
18,2022,471,111,19,2,6,36,26,1,61,.236,.283,.323,.606
19,2023,225,50,11,0,0,11,18,0,30,.222,.282,.271,.553
20,2014,149,27,3,0,1,9,10,1,28,.181,.242,.221,.463
21,2015,142,40,7,1,1,17,11,1,16,.282,.329,.366,.695
22,2016,194,48,12,0,1,14,11,2,27,.247,.288,.325,.613
23,2017,272,79,16,2,1,26,27,5,32,.290,.361,.375,.736
24,2018,488,123,13,0,11,53,24,2,69,.252,.297,.346,.643
25,2019,483,137,29,1,5,46,32,2,62,.284,.331,.379,.710
26,2020,125,38,10,1,4,20,16,2,18,.304,.392,.496,.888
27,2021,495,131,30,3,9,48,37,0,74,.265,.322,.392,.714
28,2022,471,111,19,2,6,36,26,1,61,.236,.283,.323,.606
29,2023,225,50,11,0,0,11,18,0,30,.222,.282,.271,.553
30,2014,149,27,3,0,1,9,10,1,28,.181,.242,.221,.463
31,2015,142,40,7,1,1,17,11,1,16,.282,.329,.366,.695
32,2016,194,48,12,0,1,14,11,2,27,.247,.288,.325,.613
33,2017,272,79,16,2,1,26,27,5,32,.290,.361,.375,.736
34,2018,488,123,13,0,11,53,24,2,69,.252,.297,.346,.643
35,2019,483,137,29,1,5,46,32,2,62,.284,.331,.379,.710
36,2020,125,38,10,1,4,20,16,2,18,.304,.392,.496,.888
37,2021,495,131,30,3,9,48,37,0,74,.265,.322,.392,.714
38,2022,471,111,19,2,6,36,26,1,61,.236,.283,.323,.606
39,2023,225,50,11,0,0,11,18,0,30,.222,.282,.271,.553
40,2014,149,27,3,0,1,9,10,1,28,.181,.242,.221,.463
41,2015,142,40,7,1,1,17,11,1,16,.282,.329,.366,.695
42,2016,194,48,12,0,1,14,11,2,27,.247,.288,.325,.613
43,2017,272,79,16,2,1,26,27,5,32,.290,.361,.375,.736
44,2018,488,123,13,0,11,53,24,2,69,.252,.297,.346,.643
45,2019,483,137,29,1,5,46,32,2,62,.284,.331,.379,.710
