,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
1,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
2,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
3,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
4,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
5,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
6,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
7,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
8,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
9,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
10,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
11,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
12,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
13,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
14,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
15,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
16,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
17,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
18,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
19,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
20,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
21,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
22,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
23,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
24,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
25,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
26,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
27,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
28,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
29,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
30,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
31,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
32,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
33,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
34,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
35,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
36,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
37,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
38,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
39,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
40,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
41,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
42,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
43,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
44,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
45,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
46,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
47,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
48,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
49,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
50,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
51,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
52,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
53,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
54,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
55,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
56,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
57,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
58,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
59,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
60,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
61,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
62,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
63,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
64,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
65,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
66,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
67,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
68,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
69,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
70,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
71,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
72,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
73,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
74,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
75,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
76,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
77,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
78,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
79,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
80,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
81,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
82,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
83,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
84,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
85,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
86,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
87,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
88,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
89,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
90,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
91,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
92,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
93,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
94,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
95,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
96,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
97,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
98,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
99,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
100,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
101,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
102,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
103,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
104,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
105,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
106,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
107,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
108,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
109,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
110,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
111,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
112,2020,103,35,3,0,0,11,4,0,7,.340,.376,.369,.745
113,2021,200,61,10,4,2,21,11,0,17,.305,.349,.425,.774
114,2022,209,52,7,0,0,7,14,0,27,.249,.305,.282,.587
115,2023,151,42,8,1,1,17,7,0,16,.278,.335,.364,.699
