,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
1,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
2,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
3,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
4,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
6,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
7,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
8,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
9,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
10,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
11,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
12,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
13,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
16,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
17,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
18,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
19,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
21,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
22,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
23,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
24,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
25,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
26,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
27,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
28,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
29,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
31,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
32,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
33,2021,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
34,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,2017,44,3,0,0,0,0,0,0,21,.068,.068,.068,.136
36,2018,40,4,1,0,0,1,2,0,20,.100,.143,.125,.268
37,2019,25,2,0,0,0,0,1,0,19,.080,.115,.080,.195
