,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
1,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
2,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
3,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
4,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
5,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
6,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
7,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
8,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
9,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
10,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
11,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
12,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
13,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
14,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
15,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
16,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
17,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
18,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
19,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
20,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
21,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
22,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
23,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
24,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
25,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
26,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
27,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
28,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
29,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
30,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
31,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
32,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
33,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
34,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
35,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
36,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
37,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
38,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
39,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
40,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
41,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
42,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
43,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
44,2023,150,31,5,3,0,12,20,0,30,.207,.320,.280,.600
45,2019,379,91,22,2,2,30,18,0,51,.240,.276,.325,.601
46,2020,169,34,8,0,1,13,18,0,41,.201,.286,.266,.552
47,2021,497,149,21,6,2,43,49,0,74,.300,.365,.378,.743
48,2022,436,99,12,4,0,20,29,0,63,.227,.281,.273,.554
