,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
1,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
2,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
3,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
4,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
5,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
6,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
7,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
8,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
9,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
10,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
11,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
12,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
13,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
14,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
15,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
16,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
17,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
18,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
19,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
20,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
21,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
22,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
23,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
24,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
25,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
26,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
27,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
28,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
29,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
30,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
31,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
32,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
33,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
34,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
35,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
36,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
37,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
38,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
39,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
40,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
41,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
42,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
43,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
44,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
45,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
46,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
47,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
48,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
49,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
50,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
51,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
52,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
53,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
54,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
55,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
56,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
57,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
58,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
59,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
60,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
61,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
62,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
63,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
64,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
65,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
66,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
67,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
68,2023,277,75,17,0,5,27,16,1,58,.271,.311,.386,.697
69,2021,191,39,8,0,4,18,9,0,54,.204,.243,.309,.552
70,2022,424,103,26,1,6,51,32,1,93,.243,.301,.351,.652
