,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
1,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
2,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
3,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
4,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
5,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
6,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
7,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
8,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
9,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
10,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
11,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
12,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
13,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
14,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
15,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
16,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
17,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
18,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
19,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
20,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
21,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
22,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
23,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
24,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
25,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
26,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
27,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
28,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
29,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
30,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
31,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
32,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
33,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
34,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
35,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
36,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
37,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
38,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
39,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
40,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
41,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
42,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
43,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
44,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
45,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
46,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
47,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
48,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
49,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
50,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
51,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
52,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
53,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
54,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
55,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
56,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
57,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
58,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
59,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
60,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
61,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
62,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
63,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
64,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
65,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
66,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
67,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
68,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
69,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
70,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
71,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
72,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
73,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
74,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
75,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
76,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
77,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
78,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
79,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
80,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
81,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
82,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
83,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
84,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
85,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
86,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
87,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
88,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
89,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
90,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
91,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
92,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
93,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
94,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
95,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
96,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
97,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
98,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
99,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
100,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
101,2020,118,32,5,0,6,19,5,0,30,.271,.306,.466,.772
102,2021,629,163,40,7,30,106,47,2,128,.259,.310,.488,.798
103,2022,247,61,16,0,8,35,16,0,47,.247,.294,.409,.703
104,2023,374,96,17,3,23,69,31,2,64,.257,.319,.503,.822
105,2017,217,62,9,5,6,28,21,0,36,.286,.354,.456,.810
106,2018,639,167,40,5,24,72,36,0,116,.261,.305,.452,.757
107,2019,640,189,43,8,24,86,54,6,112,.295,.352,.500,.852
