,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
1,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
2,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
3,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
4,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
5,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
6,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
7,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
8,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
9,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
10,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
11,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
12,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
13,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
14,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
15,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
16,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
17,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
18,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
19,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
20,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
21,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
22,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
23,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
24,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
25,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
26,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
27,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
28,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
29,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
30,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
31,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
32,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
33,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
34,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
35,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
36,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
37,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
38,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
39,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
40,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
41,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
42,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
43,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
44,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
45,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
46,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
47,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
48,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
49,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
50,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
51,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
52,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
53,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
54,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
55,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
56,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
57,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
58,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
59,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
60,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
61,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
62,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
63,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
64,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
65,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
66,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
67,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
68,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
69,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
70,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
71,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
72,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
73,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
74,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
75,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
76,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
77,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
78,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
79,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
80,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
81,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
82,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
83,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
84,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
85,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
86,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
87,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
88,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
89,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
90,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
91,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
92,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
93,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
94,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
95,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
96,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
97,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
98,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
99,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
100,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
101,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
102,2021,78,20,5,0,1,3,9,1,15,.256,.333,.359,.692
103,2022,15,4,0,0,0,0,1,0,2,.267,.313,.267,.580
104,2023,66,20,4,0,0,9,4,0,10,.303,.338,.364,.702
105,2018,58,17,2,0,3,7,5,0,11,.293,.349,.483,.832
106,2019,143,29,7,2,2,19,13,0,36,.203,.274,.322,.596
