,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
1,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
2,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
3,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
4,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
5,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
6,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
7,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
8,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
9,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
10,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
11,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
12,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
13,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
14,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
15,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
16,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
17,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
18,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
19,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
20,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
21,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
22,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
23,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
24,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
25,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
26,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
27,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
28,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
29,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
30,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
31,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
32,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
33,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
34,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
35,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
36,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
37,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
38,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
39,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
40,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
41,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
42,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
43,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
44,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
45,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
46,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
47,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
48,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
49,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
50,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
51,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
52,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
53,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
54,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
55,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
56,2022,92,19,4,0,4,11,8,0,35,.207,.284,.380,.664
57,2023,33,6,2,0,1,2,3,0,18,.182,.270,.333,.603
