,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
1,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
2,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
3,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
4,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
5,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
6,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
7,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
8,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
9,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
10,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
11,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
12,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
13,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
14,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
15,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
16,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
17,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
18,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
19,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
20,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
21,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
22,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
23,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
24,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
25,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
26,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
27,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
28,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
29,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
30,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
31,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
32,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
33,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
34,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
35,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
36,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
37,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
38,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
39,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
40,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
41,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
42,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
43,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
44,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
45,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
46,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
47,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
48,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
49,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
50,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
51,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
52,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
53,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
54,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
55,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
56,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
57,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
58,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
59,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
60,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
61,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
62,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
63,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
64,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
65,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
66,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
67,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
68,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
69,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
70,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
71,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
72,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
73,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
74,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
75,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
76,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
77,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
78,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
79,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
80,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
81,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
82,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
83,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
84,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
85,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
86,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
87,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
88,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
89,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
90,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
91,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
92,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
93,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
94,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
95,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
96,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
97,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
98,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
99,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
100,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
101,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
102,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
103,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
104,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
105,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
106,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
107,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
108,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
109,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
110,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
111,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
112,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
113,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
114,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
115,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
116,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
117,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
118,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
119,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
120,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
121,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
122,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
123,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
124,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
125,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
126,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
127,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
128,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
129,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
130,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
131,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
132,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
133,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
134,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
135,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
136,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
137,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
138,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
139,2019,434,125,29,0,24,67,27,0,123,.288,.340,.521,.861
140,2020,183,39,8,1,6,25,24,0,58,.213,.338,.366,.704
141,2021,341,84,21,2,14,39,27,0,98,.246,.317,.443,.760
142,2022,346,73,18,0,13,34,25,0,104,.211,.287,.376,.663
143,2023,202,43,9,3,5,17,13,0,68,.213,.274,.361,.635
144,2018,156,45,12,1,5,19,16,0,50,.288,.358,.474,.832
