,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
1,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
2,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
3,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
4,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
5,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
6,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
7,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
8,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
9,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
10,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
11,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
12,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
13,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
14,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
15,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
16,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
17,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
18,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
19,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
20,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
21,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
22,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
23,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
24,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
25,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
26,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
27,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
28,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
29,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
30,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
31,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
32,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
33,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
34,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
35,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
36,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
37,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
38,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
39,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
40,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
41,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
42,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
43,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
44,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
45,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
46,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
47,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
48,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
49,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
50,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
51,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
52,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
53,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
54,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
55,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
56,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
57,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
58,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
59,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
60,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
61,2021,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
62,2023,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
63,2019,3,1,0,0,0,0,0,0,2,.333,.333,.333,.666
