,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
1,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
2,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
3,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
4,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
5,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
6,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
7,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
8,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
9,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
10,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
11,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
12,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
13,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
14,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
15,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
16,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
17,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
18,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
19,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
20,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
21,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
22,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
23,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
24,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
25,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
26,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
27,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
28,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
29,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
30,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
31,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
32,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
33,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
34,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
35,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
36,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
37,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
38,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
39,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
40,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
41,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
42,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
43,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
44,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
45,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
46,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
47,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
48,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
49,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
50,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
51,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
52,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
53,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
54,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
55,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
56,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
57,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
58,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
59,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
60,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
61,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
62,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
63,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
64,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
65,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
66,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
67,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
68,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
69,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
70,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
71,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
72,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
73,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
74,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
75,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
76,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
77,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
78,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
79,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
80,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
81,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
82,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
83,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
84,2021,169,31,6,1,2,14,24,0,74,.183,.292,.266,.558
85,2022,156,37,10,0,2,11,11,1,55,.237,.294,.340,.634
86,2023,79,20,5,0,2,11,5,0,26,.253,.315,.392,.707
