,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
1,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
2,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
3,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
4,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
5,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
6,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
7,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
8,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
9,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
10,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
11,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
12,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
13,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
14,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
15,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
16,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
17,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
18,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
19,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
20,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
21,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
22,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
23,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
24,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
25,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
26,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
27,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
28,2023,275,63,17,1,11,38,60,1,116,.229,.375,.418,.793
