,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
1,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
2,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
3,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
4,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
5,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
6,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
7,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
8,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
9,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
10,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
11,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
12,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
13,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
14,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
15,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
16,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
17,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
18,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
19,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
20,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
21,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
22,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
23,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
24,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
25,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
26,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
27,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
28,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
29,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
30,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
31,2020,105,22,2,2,6,10,9,0,42,.210,.272,.438,.710
32,2021,214,46,7,2,14,34,23,3,87,.215,.294,.463,.757
33,2022,174,32,6,1,2,14,23,0,57,.184,.280,.264,.544
34,2023,72,17,5,0,3,6,6,0,33,.236,.295,.431,.726
35,2019,77,21,4,2,7,13,9,0,23,.273,.356,.649,1.005
