,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
1,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
2,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
3,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
4,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
5,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
6,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
7,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
8,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
9,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
10,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
11,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
12,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
13,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
14,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
15,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
16,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
17,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
18,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
19,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
20,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
21,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
22,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
23,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
24,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
25,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
26,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
27,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
28,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
29,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
30,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
31,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
32,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
33,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
34,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
35,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
36,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
37,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
38,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
39,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
40,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
41,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
42,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
43,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
44,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
45,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
46,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
47,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
48,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
49,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
50,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
51,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
52,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
53,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
54,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
55,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
56,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
57,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
58,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
59,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
60,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
61,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
62,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
63,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
64,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
65,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
66,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
67,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
68,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
69,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
70,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
71,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
72,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
73,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
74,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
75,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
76,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
77,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
78,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
79,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
80,2023,12,2,0,0,0,1,2,0,5,.167,.286,.167,.453
81,2020,31,11,3,0,3,4,2,0,11,.355,.394,.742,1.136
82,2022,121,29,4,0,4,10,11,1,42,.240,.303,.372,.675
