,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
1,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
2,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
3,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
4,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
5,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
6,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
7,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
8,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
9,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
10,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
11,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
12,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
13,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
14,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
15,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
16,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
17,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
18,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
19,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
20,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
21,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
22,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
23,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
24,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
25,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
26,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
27,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
28,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
29,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
30,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
31,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
32,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
33,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
34,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
35,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
36,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
37,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
38,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
39,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
40,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
41,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
42,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
43,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
44,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
45,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
46,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
47,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
48,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
49,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
50,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
51,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
52,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
53,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
54,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
55,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
56,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
57,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
58,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
59,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
60,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
61,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
62,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
63,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
64,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
65,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
66,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
67,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
68,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
69,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
70,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
71,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
72,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
73,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
74,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
75,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
76,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
77,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
78,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
79,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
80,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
81,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
82,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
83,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
84,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
85,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
86,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
87,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
88,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
89,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
90,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
91,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
92,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
93,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
94,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
95,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
96,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
97,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
98,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
99,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
100,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
101,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
102,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
103,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
104,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
105,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
106,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
107,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
108,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
109,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
110,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
111,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
112,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
113,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
114,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
115,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
116,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
117,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
118,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
119,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
120,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
121,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
122,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
123,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
124,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
125,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
126,2018,326,93,21,2,22,61,37,2,102,.285,.361,.564,.925
127,2019,384,110,20,5,18,62,33,1,110,.286,.343,.505,.848
128,2020,153,29,6,0,7,24,22,0,50,.190,.291,.366,.657
129,2021,537,138,26,8,46,100,96,20,189,.257,.372,.592,.964
130,2022,586,160,30,6,34,95,72,14,161,.273,.356,.519,.875
131,2023,371,112,16,7,36,77,60,8,102,.302,.398,.674,1.072
